,XOM
Price/Earnings (TTM),9.23286
Price/Sales (TTM),1.20522
Price/Book (MRQ),2.5051
Price/Cash Flow (TTM),6.33551
5yr Low,30.11
5yr High,114.66
5yr Avg Return,0.12001666666666665
EPS Growth 5yr,0.23429439999999999
Revenue Growth 5yr,0.06640209999999999
Dividend Growth 5yr,0.0321001
Short Int Current Month,41236390.0
Short Int Prev Month,45167966.0
Short Int Pct of Float,0.0100246
Days to Cover,2.1744
Float,4115.091
Shares Outstanding,4118.0
Institutions Holding Shares,3756.0
% Held by Institutions,0.578923
FCF Growth 5yr,0.5027430804424143
