,XOM
% Below High,0.042300000000000004
% Held by Institutions,0.5789
52-Wk Range,['57.96 - 114.66']
Annual Dividend $,3.64
Annual Dividend %,0.0322
Ask,109.95
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,109.71
Bid Size,100.0
Closing Price,109.81
Day Change $,-3.4
Day Change %,-0.03
Day High,111.46
Day Low,109.62
Dividend Pay Date,2022-12-09 00:00:00
"EPS (TTM, GAAP)",12.26
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.349
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,452.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.23
Prev Close,113.21
Short Interest,0.01
Today's Open,110.66
Volume,23017671.0
Volume 10-day Avg,16598643.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-02-03 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,1.5687103594080338
Growth 1yr High Est,1.722426470588235
Growth 1yr Consensus Est,1.6455684149981344
Growth 2yr Low Est,0.623861352543523
Growth 2yr High Est,0.8379181643960756
Growth 2yr Consensus Est,0.7308897584697993
Growth 5yr Low Est,-2.683507636316014
Growth 5yr High Est,-9.318580872858757
Growth 5yr Consensus Est,-6.001044254587384
Growth 5yr Actual/Est,-4.263721036667327
Growth 3yr Historic,-4.612587932900432
Price/Earnings (TTM),9.23286
Price/Sales (TTM),1.20522
Price/Book (MRQ),2.5051
Price/Cash Flow (TTM),6.33551
5yr Low,30.11
5yr High,114.66
5yr Avg Return,0.12001666666666665
EPS Growth 5yr,0.23429439999999999
Revenue Growth 5yr,0.06640209999999999
Dividend Growth 5yr,0.0321001
Short Int Current Month,41236390.0
Short Int Prev Month,45167966.0
Short Int Pct of Float,0.0100246
Days to Cover,2.1744
Float,4115.091
Shares Outstanding,4118.0
Institutions Holding Shares,3756.0
FCF Growth 5yr,0.5027430804424143
"Price/Earnings (TTM, GAAP)",9.23
"PEG Ratio (TTM, GAAP)",0.36
Gross Profit Margin (TTM),0.3105
Operating Profit Margin (TTM),0.1423
Net Profit Margin (TTM),0.1384
Annual Dividend Yield,0.0322
Dividend Change %,0.0029
"Dividend Growth Rate, 3 Years",0.026099999999999998
EPS Growth (MRQ),0.114
EPS Growth (TTM),9.845
Revenue Growth (MRQ),-0.042699999999999995
Revenue Growth (TTM),0.6042000000000001
Return On Equity (TTM),0.2989
Return On Assets (TTM),0.1515
Return On Investment (TTM),0.19219999999999998
Revenue Per Employee (TTM),6139937.0
Total Debt/Total Capital (MRQ),0.1905
Change in Debt/Total Capital Quarter over Quarter,-0.0027
Quick Ratio (MRQ),1.02
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-01-20 00:00:00
cfra since,2021-07-19 00:00:00
ford since,2022-11-04 00:00:00
marketEdge opinion since,
