,PNR
% Above Low,0.17250000000000001
% Held by Institutions,0.9443
52-Wk Range,['38.55 - 77.66']
Annual Dividend $,0.84
Annual Dividend %,0.0182
Ask,45.2
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,45.13
Bid Size,200.0
Day Change $,-0.99
Day Change %,-0.021400000000000002
Day High,45.97
Day Low,45.14
Dividend Pay Date,2022-11-04 00:00:00
"EPS (TTM, GAAP)",3.23
Ex-dividend,2022-10-20 00:00:00
Ex-dividend Date,10/20/22
Historical Volatility,0.336
Last (size),100.0
Last (time),11:11a ET 11/28/22
Market Cap,7.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.32
Prev Close,46.19
Price,45.2
Short Interest,0.041299999999999996
Today's Open,45.71
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.08083832335329344
Growth 1yr High Est,0.07624633431085037
Growth 1yr Consensus Est,0.0785423288320719
Growth 2yr Low Est,0.011333289100469435
Growth 2yr High Est,0.06537112355869501
Growth 2yr Consensus Est,0.03835220632958222
Growth 5yr Low Est,0.11187178755164126
Growth 5yr High Est,0.13851607025392382
Growth 5yr Consensus Est,0.12519392890278253
Growth 5yr Actual/Est,0.11824766893058591
Growth 3yr Historic,0.1026050420168067
Price/Earnings (TTM),14.32213
Price/Sales (TTM),1.84983
Price/Book (MRQ),2.879
Price/Cash Flow (TTM),12.12604
5yr Low,22.01
5yr High,80.4
5yr Avg Return,-0.010366666666666665
EPS Growth 5yr,0.2781091
Revenue Growth 5yr,0.0624798
Dividend Growth 5yr,-0.0980197
Short Int Current Month,6767893.0
Short Int Prev Month,7147373.0
Short Int Pct of Float,0.041286199999999995
Days to Cover,4.06817
Float,163.9615
Shares Outstanding,164.4984
Institutions Holding Shares,762.0
FCF Growth 5yr,-0.876835666287143
"Price/Earnings (TTM, GAAP)",14.32
"PEG Ratio (TTM, GAAP)",2.81
Gross Profit Margin (TTM),0.33299999999999996
Operating Profit Margin (TTM),0.1545
Net Profit Margin (TTM),0.1304
Annual Dividend Yield,0.0182
Dividend Change %,0.0526
"Dividend Growth Rate, 3 Years",-0.0867
EPS Growth (MRQ),-0.2444
EPS Growth (TTM),0.0659
Revenue Growth (MRQ),-0.0086
Revenue Growth (TTM),0.1499
Return On Equity (TTM),0.2152
Return On Assets (TTM),0.0975
Return On Investment (TTM),0.1208
Revenue Per Employee (TTM),365111.0
Total Debt/Total Capital (MRQ),0.48119999999999996
Change in Debt/Total Capital Quarter over Quarter,0.013999999999999999
Quick Ratio (MRQ),0.71
Interest Coverage (MRQ),8.84
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2020-12-18 00:00:00
theStreet since,2022-10-10 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2016-10-25 00:00:00
ford since,2022-05-06 00:00:00
marketEdge opinion since,
