,INTC
% Above Low,0.1932
% Held by Institutions,0.595
52-Wk Range,['24.59 - 56.28']
Annual Dividend $,1.46
Annual Dividend %,0.049800000000000004
Ask,29.45
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.7
Bid,29.32
Bid Size,400.0
Closing Price,29.34
Day Change $,-0.33
Day Change %,-0.0111
Day High,29.68
Day Low,29.34
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2022-11-04 00:00:00
Ex-dividend Date,11/04/22
Historical Volatility,0.38200000000000006
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,121.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.05
Prev Close,29.67
Short Interest,0.0167
Today's Open,29.68
Volume,11314878.0
Volume 10-day Avg,34902389.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,40.0
Growth 1yr Low Est,-0.633587786259542
Growth 1yr High Est,-0.6123595505617978
Growth 1yr Consensus Est,-0.6229736684106699
Growth 2yr Low Est,-0.5720022264631044
Growth 2yr High Est,-0.24579330185094717
Growth 2yr Consensus Est,-0.4088977641570258
Growth 5yr Low Est,-0.5720022264631044
Growth 5yr High Est,-0.24579330185094717
Growth 5yr Consensus Est,-0.4088977641570258
Growth 5yr Actual/Est,-0.1405317670567991
Growth 3yr Historic,0.030092789895780847
Price/Earnings (TTM),9.0522
Price/Sales (TTM),1.74125
Price/Book (MRQ),1.21226
Price/Cash Flow (TTM),4.63523
5yr Low,24.59
5yr High,69.29
5yr Avg Return,-0.03821666666666667
EPS Growth 5yr,0.1808069
Revenue Growth 5yr,0.058799000000000004
Dividend Growth 5yr,0.0597326
Short Int Current Month,68755874.0
Short Int Prev Month,71743412.0
Short Int Pct of Float,0.016674
Days to Cover,1.60808
Float,4123.685
Shares Outstanding,4127.0
Institutions Holding Shares,3186.0
FCF Growth 5yr,-1.8691913489643148
"Price/Earnings (TTM, GAAP)",9.05
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4656
Operating Profit Margin (TTM),0.136
Net Profit Margin (TTM),0.1913
Annual Dividend Yield,0.049800000000000004
Dividend Change %,0.053
"Dividend Growth Rate, 3 Years",0.050199999999999995
EPS Growth (MRQ),3.2308999999999997
EPS Growth (TTM),-0.37079999999999996
Revenue Growth (MRQ),0.0011
Revenue Growth (TTM),-0.11380000000000001
Return On Equity (TTM),0.14
Return On Assets (TTM),0.0776
Return On Investment (TTM),0.0932
Revenue Per Employee (TTM),574236.0
Total Debt/Total Capital (MRQ),0.28350000000000003
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),1.31
Interest Coverage (MRQ),5.15
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-05-25 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-01-25 00:00:00
ford since,2022-06-10 00:00:00
marketEdge opinion since,
