,OLO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),6.62,9.39,Valuation,0.7050053248136315
Price/Book (MRQ),1.63,12.63,Valuation,0.1290577988915281
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.7112999999999999,0.7206,Profitability,0.9870940882597834
Operating Profit Margin (TTM),-0.271,0.2172,Profitability,-1.2476979742173113
Net Profit Margin (TTM),-0.2267,0.1553,Profitability,-1.4597553122987768
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.2324,-0.0752,Gowth rates,3.090425531914893
EPS Growth (TTM),0.0904,-0.2824,Gowth rates,-0.32011331444759206
Revenue Growth (MRQ),0.0365,0.15560000000000002,Gowth rates,0.23457583547557836
Revenue Growth (TTM),0.2546,0.1906,Gowth rates,1.335781741867786
Return On Equity (TTM),-0.061500000000000006,0.2189,Effectiveness,-0.2809502055733212
Return On Assets (TTM),-0.055400000000000005,0.10740000000000001,Effectiveness,-0.515828677839851
Return On Investment (TTM),-0.0605,0.1387,Effectiveness,-0.4361932227829849
Revenue Per Employee (TTM),274776.0,667721.0,Effectiveness,0.41151319188703067
Total Debt/Total Capital (MRQ),0.0,0.39659999999999995,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0004,Financial strength,
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
