,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,49.0,21.43,,,,,
low,20.57,6.86,,,,,
change,-0.3497,-0.6601,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,514.0,464.0,387.0,366.0,Balance Sheet
Short Term Investments,,,,,74.0,102.0,Balance Sheet
Cash and Short Term Invs,,,514.0,464.0,460.0,468.0,Balance Sheet
"Trade Accts Recvble, Gross",,,43.0,48.0,42.0,44.0,Balance Sheet
Prov. for Doubtful Accts,,,-1.0,-1.0,-1.0,-1.0,Balance Sheet
"Total Receivables, Net",,,43.0,48.0,42.0,44.0,Balance Sheet
Prepaid Expenses,,,2.0,6.0,5.0,3.0,Balance Sheet
"Other Curr. Assets, Total",,,6.0,6.0,6.0,6.0,Balance Sheet
Total Current Assets,,,566.0,524.0,513.0,521.0,Balance Sheet
Buildings,,,0.0,0.0,0.0,0.0,Balance Sheet
Machinery/Equipment,,,5.0,8.0,12.0,14.0,Balance Sheet
Other Prop./Plant/Equip.,,,0.0,18.0,18.0,15.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,6.0,27.0,30.0,29.0,Balance Sheet
Accumulated Depreciation,,,-3.0,-3.0,-3.0,-4.0,Balance Sheet
Prop./Plant/Equip. - Net,,,3.0,24.0,26.0,25.0,Balance Sheet
"Goodwill, Net",,,163.0,208.0,208.0,208.0,Balance Sheet
Intangibles - Gross,,,,26.0,26.0,26.0,Balance Sheet
Accum. Intangible Amort.,,,,-1.0,-2.0,-3.0,Balance Sheet
Intangibles - Net,,,20.0,25.0,24.0,23.0,Balance Sheet
Long Term Investments,,,,,4.0,1.0,Balance Sheet
Note Rcvble - Long Term,,,0.0,1.0,1.0,1.0,Balance Sheet
Other Long Term Assets,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Assets,,,756.0,784.0,780.0,782.0,Balance Sheet
Accounts Payable,,,2.0,3.0,2.0,2.0,Balance Sheet
Accrued Expenses,,,41.0,50.0,45.0,46.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Customer Advances,,,1.0,4.0,3.0,3.0,Balance Sheet
Other Current Liabilities,,,4.0,2.0,3.0,3.0,Balance Sheet
"Other Curr. Lblts, Total",,,6.0,6.0,6.0,6.0,Balance Sheet
Total Current Liabilities,,,49.0,59.0,53.0,54.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,5.0,20.0,19.0,18.0,Balance Sheet
Total Liabilities,,,54.0,79.0,71.0,71.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,813.0,828.0,844.0,861.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-112.0,-123.0,-135.0,-149.0,Balance Sheet
"Other Equity, Total",,,,,0.0,0.0,Balance Sheet
Total Equity,,,702.0,705.0,709.0,711.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,756.0,784.0,780.0,782.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,79.0,90.0,98.0,105.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,79.0,70.0,64.0,58.0,Balance Sheet
Ttl Comm. Shares Outs.,,,158.0,160.0,161.0,163.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,39959.0,42756.0,45601.0,47266.0,Income Statement
"Cost of Revenue, Total",,,8453.0,12802.0,14168.0,15266.0,Income Statement
Selling/Gen/Admin Expense,,,17470.0,18293.0,19300.0,22065.0,Income Statement
Labor & Related Expense,,,4827.0,6630.0,6444.0,6814.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,22297.0,24923.0,25744.0,28879.0,Income Statement
Research & Development,,,16046.0,16325.0,17233.0,19101.0,Income Statement
Impair-Assets Held for Use,,,,500.0,0.0,0.0,Income Statement
Other Unusual Expnse (In),,,,1108.0,388.0,-62.0,Income Statement
Unusual Expense (Income),,,,1608.0,388.0,-62.0,Income Statement
Total Operating Expense,,,46796.0,55658.0,57533.0,63184.0,Income Statement
Total Operating Income,,,-6837.0,-12902.0,-11932.0,-15918.0,Income Statement
"Inter Expse,Net Non-Operat",,,0.0,,-46.0,-70.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,533.0,1525.0,Income Statement
OtherNon-OperatInc (Expnse),,,100.0,58.0,7.0,-7.0,Income Statement
"Other, Net",,,100.0,58.0,7.0,-7.0,Income Statement
Income Before Tax,,,-6737.0,-12844.0,-11438.0,-14470.0,Income Statement
Income Tax - Total,,,-4666.0,-1335.0,235.0,90.0,Income Statement
Income After Tax,,,-2071.0,-11509.0,-11673.0,-14560.0,Income Statement
Net Inc Before Extra Items,,,-2071.0,-11509.0,-11673.0,-14560.0,Income Statement
Total Net Income,,,-2071.0,-11509.0,-11673.0,-14560.0,Income Statement
Total Adjust to Net Income,,,0.0,0.0,0.0,0.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-2071.0,-11509.0,-11673.0,-14560.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-2071.0,-11509.0,-11673.0,-14560.0,Income Statement
Basic/Primary Weighted Average Shares,,,154937.0,159190.0,160429.0,162365.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.01,-0.07,-0.07,-0.09,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.01,-0.07,-0.07,-0.09,Income Statement
Diluted Weighted Average Shares,,,154937.0,159190.0,160429.0,162365.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.01,-0.07,-0.07,-0.09,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.01,-0.07,-0.07,-0.09,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,0.0,0.0,46.0,70.0,Income Statement
"Depreciat/Amort, Suppl",,,315.0,309.0,515.0,700.0,Income Statement
Total Special Items,,,,1608.0,388.0,-62.0,Income Statement
Normalzd Income Before Tax,,,-6737.0,-11236.0,-11050.0,-14532.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,563.0,136.0,-22.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,-4666.0,-772.0,371.0,68.0,Income Statement
Normalized Income After Tax,,,-2071.0,-10464.0,-11421.0,-14600.0,Income Statement
Normalzd Inc Avail to Common,,,-2071.0,-10464.0,-11421.0,-14600.0,Income Statement
Basic Normalized EPS,,,-0.01,-0.07,-0.07,-0.09,Income Statement
Diluted Normalized EPS,,,-0.01,-0.07,-0.07,-0.09,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-42273.0,-11509.0,-23182.0,-37742.0,Cash Flow
Depreciation/Depletion,,,1615.0,1109.0,2624.0,4285.0,Cash Flow
Deferred Taxes,,,-4896.0,-1421.0,-1421.0,-1421.0,Cash Flow
Unusual Items,,,,475.0,475.0,2806.0,Cash Flow
Other Non-Cash Items,,,65128.0,12508.0,24412.0,37919.0,Cash Flow
Non-Cash Items,,,65128.0,12983.0,24887.0,40725.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,393.0,,,,Cash Flow
"Cash Interest Pd, Suppl",,,0.0,,,,Cash Flow
Accounts Receivable,,,3638.0,-4928.0,812.0,-668.0,Cash Flow
Prepaid Expenses,,,-2837.0,-3515.0,-2016.0,-404.0,Cash Flow
Other Assets,,,-1007.0,242.0,-462.0,-537.0,Cash Flow
Accounts Payable,,,-6820.0,909.0,-286.0,-452.0,Cash Flow
Accrued Expenses,,,1603.0,3573.0,-2351.0,-966.0,Cash Flow
Changes in Working Capital,,,-3321.0,-2051.0,-3778.0,-3449.0,Cash Flow
Total Cash from Operations,,,16253.0,-889.0,-870.0,2398.0,Cash Flow
Purchase of Fixed Assets,,,-1845.0,-76.0,-409.0,-454.0,Cash Flow
Software Development Costs,,,,-2462.0,-5125.0,-6997.0,Cash Flow
Capital Expenditures,,,-1845.0,-2538.0,-5534.0,-7451.0,Cash Flow
Acquisition of Business,,,-75227.0,-49308.0,-49308.0,-49241.0,Cash Flow
Sale/Maturity of Investment,,,,,4306.0,11388.0,Cash Flow
Purchase of Investments,,,,,-82394.0,-114006.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-75227.0,-49308.0,-127396.0,-151859.0,Cash Flow
Total Cash from Investing,,,-77072.0,-51846.0,-132930.0,-159310.0,Cash Flow
Financing Cash Flow Items,,,-4260.0,-226.0,-253.0,-352.0,Cash Flow
"Common Stock, Net",,,485541.0,0.0,0.0,0.0,Cash Flow
"Preferred Stock, Net",,,0.0,,,,Cash Flow
Options Exercised,,,17835.0,2249.0,6278.0,9218.0,Cash Flow
Warrants Converted,,,392.0,0.0,0.0,0.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,503768.0,2249.0,6278.0,9218.0,Cash Flow
Long Term Debt Issued,,,0.0,,,,Cash Flow
Long Term Debt Reduction,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,0.0,,,,Cash Flow
Total Cash From Financing,,,499508.0,2023.0,6025.0,8866.0,Cash Flow
Net Change in Cash,,,438689.0,-50712.0,-127775.0,-148046.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,75756.0,514445.0,514445.0,514445.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,514445.0,463733.0,386670.0,366399.0,Cash Flow
"Depreciation, Supplemental",,,1615.0,1109.0,2624.0,4285.0,Cash Flow
Free Cash Flow,,,14408.0,-3427.0,-6404.0,-5053.0,
FCF Growth,,,,-1.2378539700166575,0.8686898161657426,-0.21096189881324168,
