,OGN
% Above Low,0.0975
% Held by Institutions,0.7678
52-Wk Range,['22.88 - 39.48']
Annual Dividend $,1.12
Annual Dividend %,0.0446
Ask,25.11
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,24.75
Bid Size,100.0
Change Since Close,-0.09| |(-0.36%)
Closing Price,25.11
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.96
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.322
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,25.02
Market Cap,6.4B
"P/E Ratio (TTM, GAAP)",6.33
Prev Close,25.11
Short Interest,0.0217
Today's Open,
Volume,145.0
Volume 10-day Avg,1666002.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.22932917316692658
Growth 1yr High Est,-0.18461538461538463
Growth 1yr Consensus Est,-0.2069722788911556
Growth 2yr Low Est,-0.15312612504500184
Growth 2yr High Est,-0.07815674891146585
Growth 2yr Consensus Est,-0.11564143697823384
Growth 5yr Low Est,-0.15312612504500184
Growth 5yr High Est,-0.07815674891146585
Growth 5yr Consensus Est,-0.11564143697823384
Growth 5yr Actual/Est,-0.13574600381814156
Growth 3yr Historic,0.0
Price/Earnings (TTM),6.33379
Price/Sales (TTM),1.01511
Price/Book (MRQ),
Price/Cash Flow (TTM),5.18012
5yr Low,22.88
5yr High,39.48
5yr Avg Return,-0.09815
Short Int Current Month,5506850.0
Short Int Prev Month,5682727.0
Short Int Pct of Float,0.0216622
Days to Cover,2.21409
Float,254.2229
Shares Outstanding,254.3644
Institutions Holding Shares,1048.0
FCF Growth 5yr,0.34014210268340034
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",6.33
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6372
Operating Profit Margin (TTM),0.19820000000000002
Net Profit Margin (TTM),0.1607
Annual Dividend Yield,0.0446
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0296
EPS Growth (TTM),-0.3406
Revenue Growth (MRQ),-0.030299999999999997
Revenue Growth (TTM),-0.0034999999999999996
Return On Equity (TTM),
Return On Assets (TTM),0.0929
Return On Investment (TTM),0.12390000000000001
Revenue Per Employee (TTM),676559.0
Total Debt/Total Capital (MRQ),1.1397
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),1.17
Interest Coverage (MRQ),3.71
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-29 00:00:00
theStreet since,2022-09-29 00:00:00
cfra since,2021-10-01 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
