,DEN
% Below High,0.1353
% Held by Institutions,1.0017
52-Wk Range,['56.59 - 104.05']
Annual Dividend $,
Annual Dividend %,
Ask,95.12
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,88.88
Bid Size,100.0
Closing Price,89.97
Day Change $,1.13
Day Change %,0.0127
Day High,92.43
Day Low,89.16
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.25
Ex-dividend Date,No dividend
Historical Volatility,0.8959999999999999
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
"P/E Ratio (TTM, GAAP)",14.4
Prev Close,88.84
Short Interest,0.1001
Today's Open,89.16
Volume,384919.0
Volume 10-day Avg,559816.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,1.9098712446351933
Growth 1yr High Est,2.0036363636363634
Growth 1yr Consensus Est,1.9567538041357784
Growth 2yr Low Est,0.893726182789573
Growth 2yr High Est,1.128331499009465
Growth 2yr Consensus Est,1.011028840899519
Growth 5yr Low Est,0.893726182789573
Growth 5yr High Est,1.128331499009465
Growth 5yr Consensus Est,1.011028840899519
Growth 5yr Actual/Est,1.2804492382617383
Growth 3yr Historic,0.7772727272727272
Price/Earnings (TTM),14.40188
Price/Sales (TTM),2.80094
Price/Book (MRQ),3.57503
Price/Cash Flow (TTM),8.89848
5yr Low,15.43
5yr High,104.05
5yr Avg Return,0.7925333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.052187599999999994
Dividend Growth 5yr,
Short Int Current Month,4818970.0
Short Int Prev Month,4790480.0
Short Int Pct of Float,0.100057
Days to Cover,8.14234
Float,48.16223
Shares Outstanding,49.80011
Institutions Holding Shares,251.0
FCF Growth 5yr,14.842778192354265
"Price/Earnings (TTM, GAAP)",14.4
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6517000000000001
Operating Profit Margin (TTM),0.4347
Net Profit Margin (TTM),0.2238
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),168.6355
EPS Growth (TTM),1.3108000000000002
Revenue Growth (MRQ),0.17070000000000002
Revenue Growth (TTM),0.696
Return On Equity (TTM),0.326
Return On Assets (TTM),0.1841
Return On Investment (TTM),0.25070000000000003
Revenue Per Employee (TTM),2234145.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.09
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-07-29 00:00:00
cfra since,
theStreet since,2022-09-20 00:00:00
newConstructs since,
researchTeam since,2021-10-22 00:00:00
marketEdge opinion since,
