,TBI
% Above Low,0.33990000000000004
% Held by Institutions,0.9889
52-Wk Range,['15.77 - 30.32']
Annual Dividend $,
Annual Dividend %,
Ask,21.17
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,1.4
Bid,21.13
Bid Size,200.0
Closing Price,21.13
Day Change $,-0.34
Day Change %,-0.0158
Day High,21.51
Day Low,20.94
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.22
Ex-dividend Date,No dividend
Historical Volatility,0.41100000000000003
Last (size),100.0
Last (time),3:59p ET 11/28/22
Market Cap,691.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.67
Prev Close,21.47
Short Interest,0.0146
Today's Open,21.32
Volume,93819.0
Volume 10-day Avg,89016.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1633663366336633
Growth 1yr High Est,0.2571428571428571
Growth 1yr Consensus Est,0.2102545968882602
Growth 2yr Low Est,-0.21618917210870026
Growth 2yr High Est,0.06607142857142856
Growth 2yr Consensus Est,-0.07505887176863585
Growth 5yr Low Est,-0.10809458605435013
Growth 5yr High Est,0.03303571428571428
Growth 5yr Consensus Est,-0.037529435884317924
Growth 5yr Actual/Est,0.692568431742082
Growth 3yr Historic,0.7152297220646626
Price/Earnings (TTM),9.66878
Price/Sales (TTM),0.30299
Price/Book (MRQ),1.44186
Price/Cash Flow (TTM),6.71744
5yr Low,12.02
5yr High,32.91
5yr Avg Return,-0.022933333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.045996300000000004
Dividend Growth 5yr,
Short Int Current Month,461754.0
Short Int Prev Month,617127.0
Short Int Pct of Float,0.0145825
Days to Cover,3.33753
Float,31.66339
Shares Outstanding,32.71864
Institutions Holding Shares,249.0
FCF Growth 5yr,-0.35281608996730324
"Price/Earnings (TTM, GAAP)",9.67
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.26789999999999997
Operating Profit Margin (TTM),0.0376
Net Profit Margin (TTM),0.0325
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1294
EPS Growth (TTM),0.5957
Revenue Growth (MRQ),0.011399999999999999
Revenue Growth (TTM),0.1198
Return On Equity (TTM),0.1551
Return On Assets (TTM),0.0757
Return On Investment (TTM),0.0985
Revenue Per Employee (TTM),362253.0
Total Debt/Total Capital (MRQ),0.1403
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-06-01 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
