,TBI,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",9.67,75.74,Valuation,0.12767362027990495
Price/Sales (TTM),0.3,5.07,Valuation,0.05917159763313609
Price/Book (MRQ),1.44,7.18,Valuation,0.20055710306406685
"PEG Ratio (TTM, GAAP)",,3.68,Valuation,
Gross Profit Margin (TTM),0.26789999999999997,0.49210000000000004,Profitability,0.5444015444015443
Operating Profit Margin (TTM),0.0376,0.10619999999999999,Profitability,0.3540489642184558
Net Profit Margin (TTM),0.0325,0.055,Profitability,0.5909090909090909
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.051100000000000007,Dividend,
"Dividend Growth Rate, 3 Years",,0.0489,Dividend,
EPS Growth (MRQ),-0.1294,-18.5673,Gowth rates,0.00696924162371481
EPS Growth (TTM),0.5957,-0.2057,Gowth rates,-2.895964997569276
Revenue Growth (MRQ),0.011399999999999999,0.10880000000000001,Gowth rates,0.10477941176470586
Revenue Growth (TTM),0.1198,0.11970000000000001,Gowth rates,1.0008354218880533
Return On Equity (TTM),0.1551,0.1999,Effectiveness,0.7758879439719859
Return On Assets (TTM),0.0757,0.0565,Effectiveness,1.3398230088495575
Return On Investment (TTM),0.0985,0.0848,Effectiveness,1.161556603773585
Revenue Per Employee (TTM),362253.0,417216.0,Effectiveness,0.868262482742752
Total Debt/Total Capital (MRQ),0.1403,0.4147,Financial strength,0.3383168555582349
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0070999999999999995,Financial strength,-0.11267605633802819
Quick Ratio (MRQ),,0.09,Financial strength,
Interest Coverage (MRQ),,18.36,Financial strength,
