,UPS
% Above Low,0.1617
% Held by Institutions,0.6899
52-Wk Range,['154.87 - 233.72']
Annual Dividend $,6.08
Annual Dividend %,0.0333
Ask,181.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,181.26
Bid Size,100.0
Closing Price,179.91
Day Change $,-2.61
Day Change %,-0.0143
Day High,182.28
Day Low,178.44
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",12.77
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.307
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,155.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",14.29
Prev Close,182.52
Short Interest,0.015700000000000002
Today's Open,180.97
Volume,2047781.0
Volume 10-day Avg,2498586.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.12368421052631584
Growth 1yr High Est,0.09704641350210963
Growth 1yr Consensus Est,0.11036531201421274
Growth 2yr Low Est,-0.055253913472205096
Growth 2yr High Est,0.06775397598182409
Growth 2yr Consensus Est,0.006250031254809496
Growth 5yr Low Est,0.10492337883436725
Growth 5yr High Est,0.17316739534965053
Growth 5yr Consensus Est,0.1390453870920089
Growth 5yr Actual/Est,0.14562976172791445
Growth 3yr Historic,0.14170938764181829
Price/Earnings (TTM),14.28883
Price/Sales (TTM),1.56184
Price/Book (MRQ),9.30241
Price/Cash Flow (TTM),11.08446
5yr Low,82.0
5yr High,233.72
5yr Avg Return,0.10068333333333333
EPS Growth 5yr,0.3064125
Revenue Growth 5yr,0.0956724
Dividend Growth 5yr,0.0551182
Short Int Current Month,11480113.0
Short Int Prev Month,10550577.0
Short Int Pct of Float,0.0157337
Days to Cover,3.9764
Float,729.727
Shares Outstanding,864.9182
Institutions Holding Shares,2644.0
FCF Growth 5yr,0.11662107560921064
"Price/Earnings (TTM, GAAP)",14.29
"PEG Ratio (TTM, GAAP)",2.88
Gross Profit Margin (TTM),0.7575000000000001
Operating Profit Margin (TTM),0.13640000000000002
Net Profit Margin (TTM),0.1107
Annual Dividend Yield,0.0333
Dividend Change %,0.0099
"Dividend Growth Rate, 3 Years",0.0388
EPS Growth (MRQ),-0.0868
EPS Growth (TTM),0.742
Revenue Growth (MRQ),-0.0244
Revenue Growth (TTM),0.0706
Return On Equity (TTM),0.7713
Return On Assets (TTM),0.1654
Return On Investment (TTM),0.21920000000000003
Revenue Per Employee (TTM),189281.0
Total Debt/Total Capital (MRQ),0.545
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),17.79
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-04-28 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-10-25 00:00:00
ford since,2022-10-28 00:00:00
marketEdge opinion since,
