,HLIO
% Above Low,0.1562
% Held by Institutions,0.9181
52-Wk Range,['48.27 - 107.90']
Annual Dividend $,0.36
Annual Dividend %,0.006500000000000001
Ask,68.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,44.0
Bid Size,100.0
Closing Price,55.81
Day Change $,0.0
Day Change %,0.0
Day High,56.27
Day Low,55.76
Dividend Pay Date,2022-10-20 00:00:00
"EPS (TTM, GAAP)",3.2
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.42700000000000005
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",17.44
Prev Close,55.81
Short Interest,0.011200000000000002
Today's Open,56.14
Volume,21092.0
Volume 10-day Avg,145621.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-27 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.01243781094527352
Growth 1yr High Est,-0.03597122302158284
Growth 1yr Consensus Est,-0.02420451698342818
Growth 2yr Low Est,-0.10193678960361913
Growth 2yr High Est,-0.05156770106303016
Growth 2yr Consensus Est,-0.07675224533332464
Growth 5yr Low Est,-0.10193678960361913
Growth 5yr High Est,-0.05156770106303016
Growth 5yr Consensus Est,-0.07675224533332464
Growth 5yr Actual/Est,0.15941372642299279
Growth 3yr Historic,0.20478303203997644
Price/Earnings (TTM),17.43654
Price/Sales (TTM),2.00305
Price/Book (MRQ),2.41708
Price/Cash Flow (TTM),11.71669
5yr Low,29.03
5yr High,114.89
5yr Avg Return,0.10436666666666668
EPS Growth 5yr,0.3002641
Revenue Growth 5yr,0.3457311
Dividend Growth 5yr,0.0
Short Int Current Month,358340.0
Short Int Prev Month,358946.0
Short Int Pct of Float,0.011193999999999999
Days to Cover,2.01961
Float,32.01175
Shares Outstanding,32.55648
Institutions Holding Shares,217.0
FCF Growth 5yr,0.7924208110204839
"Price/Earnings (TTM, GAAP)",17.44
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.34130000000000005
Operating Profit Margin (TTM),0.1637
Net Profit Margin (TTM),0.1151
Annual Dividend Yield,0.006500000000000001
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.3215
EPS Growth (TTM),0.19260000000000002
Revenue Growth (MRQ),-0.1426
Revenue Growth (TTM),0.1295
Return On Equity (TTM),0.1451
Return On Assets (TTM),0.0736
Return On Investment (TTM),0.0824
Revenue Per Employee (TTM),386003.0
Total Debt/Total Capital (MRQ),0.3776
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),7.88
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-05-11 00:00:00
researchTeam since,2022-04-08 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-08 00:00:00
cfra since,
marketEdge opinion since,
