,ROP
% Below High,0.1343
% Held by Institutions,0.9466
52-Wk Range,['356.22 - 494.32']
Annual Dividend $,2.73
Annual Dividend %,0.0063
Ask,428.13
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,427.7
Bid Size,100.0
Day Change $,-8.46
Day Change %,-0.0194
Day High,435.48
Day Low,427.39
Dividend Pay Date,2023-01-23 00:00:00
"EPS (TTM, GAAP)",8.78
Ex-dividend,2023-01-06 00:00:00
Ex-dividend Date,01/06/23
Historical Volatility,0.262
Last (size),100.0
Last (time),1:11p ET 11/28/22
Market Cap,45.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.68
Prev Close,436.38
Price,427.92
Short Interest,0.011399999999999999
Today's Open,433.41
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.0
Growth 1yr High Est,-0.015961138098542715
Growth 1yr Consensus Est,-0.007980569049271358
Growth 2yr Low Est,0.04397163120567382
Growth 2yr High Est,0.07382479061222369
Growth 2yr Consensus Est,0.058898210908948756
Growth 5yr Low Est,0.0444287681305352
Growth 5yr High Est,0.06427708311671995
Growth 5yr Consensus Est,0.054352925623627577
Growth 5yr Actual/Est,0.053284369996625114
Growth 3yr Historic,0.022318759510877695
Price/Earnings (TTM),49.67534
Price/Sales (TTM),8.48658
Price/Book (MRQ),3.33956
Price/Cash Flow (TTM),29.63373
5yr Low,240.0
5yr High,505.0
5yr Avg Return,0.09671666666666665
EPS Growth 5yr,0.0749529
Revenue Growth 5yr,0.0879937
Dividend Growth 5yr,0.13396660000000002
Short Int Current Month,1208416.0
Short Int Prev Month,1050911.0
Short Int Pct of Float,0.011439999999999999
Days to Cover,1.90713
Float,105.6209
Shares Outstanding,106.052
Institutions Holding Shares,1370.0
FCF Growth 5yr,-0.11135676886331791
"Price/Earnings (TTM, GAAP)",49.68
"PEG Ratio (TTM, GAAP)",4.62
Gross Profit Margin (TTM),0.6911
Operating Profit Margin (TTM),0.2627
Net Profit Margin (TTM),0.172
Annual Dividend Yield,0.0063
Dividend Change %,0.0976
"Dividend Growth Rate, 3 Years",0.10890000000000001
EPS Growth (MRQ),0.23070000000000002
EPS Growth (TTM),0.08220000000000001
Revenue Growth (MRQ),0.0301
Revenue Growth (TTM),0.11
Return On Equity (TTM),0.0745
Return On Assets (TTM),0.039
Return On Investment (TTM),0.0442
Revenue Per Employee (TTM),282549.0
Total Debt/Total Capital (MRQ),0.3246
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),1.37
Interest Coverage (MRQ),9.52
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-07-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-07-22 00:00:00
ford since,2021-03-05 00:00:00
marketEdge opinion since,
marketEdge since,2022-07-25 00:00:00
