,NBHC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",19.36,11.29,Valuation,1.7147918511957485
Price/Sales (TTM),6.13,3.28,Valuation,1.8689024390243902
Price/Book (MRQ),1.75,1.42,Valuation,1.2323943661971832
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.3177,0.3468,Profitability,0.9160899653979239
Net Profit Margin (TTM),0.25980000000000003,0.2848,Profitability,0.9122191011235956
Annual Dividend Yield,0.0206,0.028999999999999998,Dividend,0.710344827586207
Dividend Change %,0.08750000000000001,-0.0087,Dividend,-10.057471264367818
"Dividend Growth Rate, 3 Years",0.1723,0.0742,Dividend,2.322102425876011
EPS Growth (MRQ),-0.2482,-0.048,Gowth rates,5.170833333333333
EPS Growth (TTM),-0.2025,-0.10490000000000001,Gowth rates,1.9304099142040039
Revenue Growth (MRQ),0.23,0.5294,Gowth rates,0.4344540989799774
Revenue Growth (TTM),0.156,0.22469999999999998,Gowth rates,0.6942590120160214
Return On Equity (TTM),0.08750000000000001,0.1153,Effectiveness,0.758889852558543
Return On Assets (TTM),0.0103,0.0101,Effectiveness,1.0198019801980198
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0149,0.0009,Financial strength,16.555555555555557
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
