,NBHC
% Below High,0.028999999999999998
% Held by Institutions,0.7956
52-Wk Range,['36.04 - 50.00']
Annual Dividend $,1.0
Annual Dividend %,0.0206
Ask,48.6
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.9
Bid,
Bid Size,
Closing Price,48.55
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.51
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.28800000000000003
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",19.36
Prev Close,48.55
Short Interest,0.0155
Today's Open,
Volume,124715.0
Volume 10-day Avg,258029.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.08070175438596494
Growth 1yr High Est,0.11379310344827598
Growth 1yr Consensus Est,0.01654567453115552
Growth 2yr Low Est,0.14667202357037634
Growth 2yr High Est,0.26897085512971064
Growth 2yr Consensus Est,0.2078214393500435
Growth 5yr Low Est,0.11063439888196236
Growth 5yr High Est,0.17333004907879956
Growth 5yr Consensus Est,0.14198222398038096
Growth 5yr Actual/Est,0.13868608365018353
Growth 3yr Historic,0.04216696988073587
Price/Earnings (TTM),19.36423
Price/Sales (TTM),6.13216
Price/Book (MRQ),1.75255
Price/Cash Flow (TTM),20.26133
5yr Low,20.25
5yr High,50.0
5yr Avg Return,0.06921666666666666
EPS Growth 5yr,0.30632380000000003
Revenue Growth 5yr,0.046061500000000005
Dividend Growth 5yr,0.3164953
Short Int Current Month,572293.0
Short Int Prev Month,483166.0
Short Int Pct of Float,0.015489200000000002
Days to Cover,2.42278
Float,37.00787
Shares Outstanding,37.59426
Institutions Holding Shares,235.0
FCF Growth 5yr,0.46153846153846145
"Price/Earnings (TTM, GAAP)",19.36
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3177
Net Profit Margin (TTM),0.25980000000000003
Annual Dividend Yield,0.0206
Dividend Change %,0.08750000000000001
"Dividend Growth Rate, 3 Years",0.1723
EPS Growth (MRQ),-0.2482
EPS Growth (TTM),-0.2025
Revenue Growth (MRQ),0.23
Revenue Growth (TTM),0.156
Return On Equity (TTM),0.08750000000000001
Return On Assets (TTM),0.0103
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0149
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-07-22 00:00:00
theStreet since,2020-10-19 00:00:00
ford since,2022-07-22 00:00:00
cfra since,
marketEdge opinion since,
