,STBA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",12.42,11.29,Valuation,1.100088573959256
Price/Sales (TTM),4.12,3.28,Valuation,1.2560975609756098
Price/Book (MRQ),1.26,1.42,Valuation,0.8873239436619719
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.4123,0.3468,Profitability,1.1888696655132642
Net Profit Margin (TTM),0.33270000000000005,0.2848,Profitability,1.1681882022471912
Annual Dividend Yield,0.0332,0.028999999999999998,Dividend,1.1448275862068966
Dividend Change %,0.0089,-0.0087,Dividend,-1.0229885057471264
"Dividend Growth Rate, 3 Years",0.0451,0.0742,Dividend,0.6078167115902965
EPS Growth (MRQ),0.2867,-0.048,Gowth rates,-5.972916666666666
EPS Growth (TTM),0.0552,-0.10490000000000001,Gowth rates,-0.5262154432793136
Revenue Growth (MRQ),0.1577,0.5294,Gowth rates,0.29788439743105405
Revenue Growth (TTM),0.051100000000000007,0.22469999999999998,Gowth rates,0.2274143302180686
Return On Equity (TTM),0.09970000000000001,0.1153,Effectiveness,0.8647007805724198
Return On Assets (TTM),0.0128,0.0101,Effectiveness,1.2673267326732673
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0054,0.0009,Financial strength,-6.000000000000001
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
