,STBA
% Below High,0.0438
% Held by Institutions,0.6312
52-Wk Range,['26.51 - 38.39']
Annual Dividend $,1.24
Annual Dividend %,0.0332
Ask,36.76
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,36.71
Bid Size,200.0
Day Change $,-0.68
Day Change %,-0.0182
Day High,37.47
Day Low,36.71
Dividend Pay Date,2022-11-17 00:00:00
"EPS (TTM, GAAP)",3.01
Ex-dividend,2022-11-02 00:00:00
Ex-dividend Date,11/02/22
Historical Volatility,0.256
Last (size),341.0
Last (time),3:23p ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",12.42
Prev Close,37.39
Price,36.71
Short Interest,0.0215
Today's Open,37.33
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.19217081850533813
Growth 1yr High Est,0.15646258503401356
Growth 1yr Consensus Est,0.17431670176967584
Growth 2yr Low Est,0.07071227492431087
Growth 2yr High Est,0.08705482192877145
Growth 2yr Consensus Est,0.07888354842654116
Growth 5yr Low Est,0.019522804128822097
Growth 5yr High Est,0.03771345747601365
Growth 5yr Consensus Est,0.028618130802417874
Growth 5yr Actual/Est,0.08978696433412209
Growth 3yr Historic,0.042932259327627675
Price/Earnings (TTM),12.423
Price/Sales (TTM),4.12099
Price/Book (MRQ),1.26492
Price/Cash Flow (TTM),
5yr Low,16.98
5yr High,47.77
5yr Avg Return,-0.0032000000000000028
EPS Growth 5yr,0.065759
Revenue Growth 5yr,0.048956400000000004
Dividend Growth 5yr,0.0797359
Short Int Current Month,823129.0
Short Int Prev Month,945498.0
Short Int Pct of Float,0.021522299999999998
Days to Cover,7.24298
Float,38.24649
Shares Outstanding,39.00355
Institutions Holding Shares,244.0
FCF Growth 5yr,0.16640755840590785
"Price/Earnings (TTM, GAAP)",12.42
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4123
Net Profit Margin (TTM),0.33270000000000005
Annual Dividend Yield,0.0332
Dividend Change %,0.0089
"Dividend Growth Rate, 3 Years",0.0451
EPS Growth (MRQ),0.2867
EPS Growth (TTM),0.0552
Revenue Growth (MRQ),0.1577
Revenue Growth (TTM),0.051100000000000007
Return On Equity (TTM),0.09970000000000001
Return On Assets (TTM),0.0128
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0054
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-05-12 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
