,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,43.17,47.77,42.02,41.54,35.8,38.39,,,,,
low,38.8,35.6,33.3,16.98,24.2,26.51,,,,,
change,-0.0403,-0.056799999999999996,0.0758,-0.38680000000000003,0.2293,0.15960000000000002,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Due from Banks,,,,,,,1779.0,1575.0,608.0,196.0,Balance Sheet
Interest-Earning Deposits,,,,,,,-857.0,-751.0,-264.0,-61.0,Balance Sheet
FHLB Stock,,,,,,,10.0,9.0,8.0,11.0,Balance Sheet
Total Invest. Securities,,,,,,,911.0,1028.0,1069.0,997.0,Balance Sheet
Loans Held for Sale,,,,,,,2.0,1.0,1.0,1.0,Balance Sheet
"Other Erng. Assets, Total",,,,,,,65.0,288.0,814.0,948.0,Balance Sheet
Total Gross Loans,,,,,,,7000.0,6964.0,7041.0,7097.0,Balance Sheet
Loan Loss Allowances,,,,,,,-99.0,-100.0,-98.0,-100.0,Balance Sheet
Net Loans,,,,,,,6901.0,6864.0,6943.0,6997.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,53.0,52.0,51.0,50.0,Balance Sheet
"Goodwill, Net",,,,,,,373.0,373.0,373.0,373.0,Balance Sheet
Intangibles - Net,,,,,,,7.0,6.0,6.0,6.0,Balance Sheet
"Other Assets, Total",,,,,,,310.0,274.0,308.0,366.0,Balance Sheet
Total Assets,,,,,,,9489.0,9432.0,9104.0,8936.0,Balance Sheet
Non-Interest Bearing Dep.,,,,,,,2749.0,2740.0,2737.0,2663.0,Balance Sheet
Interest Bearing Deposits,,,,,,,5248.0,5220.0,4875.0,4747.0,Balance Sheet
Total Deposits,,,,,,,7997.0,7960.0,7612.0,7411.0,Balance Sheet
"Other Bearing Lblts, Total",,,,,,,0.0,,,35.0,Balance Sheet
Total ST Borrowings,,,,,,,84.0,70.0,39.0,0.0,Balance Sheet
Total Long Term Debt,,,,,,,77.0,77.0,76.0,69.0,Balance Sheet
Total Debt,,,,,,,161.0,147.0,116.0,69.0,Balance Sheet
"Other Liabilities, Total",,,,,,,124.0,140.0,198.0,268.0,Balance Sheet
Total Liabilities,,,,,,,8282.0,8247.0,7925.0,7783.0,Balance Sheet
Common Stock,,,,,,,104.0,104.0,104.0,104.0,Balance Sheet
