,NTRA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),5.27,45.03,Valuation,0.11703308905174327
Price/Book (MRQ),10.11,12.61,Valuation,0.8017446471054719
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.4548,0.5874,Profitability,0.7742594484167518
Operating Profit Margin (TTM),-0.6945,-4.7459,Profitability,0.14633683811289747
Net Profit Margin (TTM),-0.7033,-4.5467,Profitability,0.1546836166890272
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.1672,-0.0014000000000000002,Gowth rates,-119.4285714285714
EPS Growth (TTM),-0.24180000000000001,0.027200000000000002,Gowth rates,-8.88970588235294
Revenue Growth (MRQ),0.06269999999999999,1.3963999999999999,Gowth rates,0.04490117444858207
Revenue Growth (TTM),0.3738,0.9747,Gowth rates,0.3835026161895968
Return On Equity (TTM),-0.9741,0.1967,Effectiveness,-4.952211489578037
Return On Assets (TTM),-0.4704,0.0016,Effectiveness,-294.0
Return On Investment (TTM),-0.5889,0.0219,Effectiveness,-26.89041095890411
Revenue Per Employee (TTM),290636.0,1476201.0,Effectiveness,0.19688104804156073
Total Debt/Total Capital (MRQ),0.4783,0.4675,Financial strength,1.0231016042780747
Change in Debt/Total Capital Quarter over Quarter,0.003,0.0036,Financial strength,0.8333333333333334
Quick Ratio (MRQ),2.95,2.06,Financial strength,1.4320388349514563
Interest Coverage (MRQ),-51.1,2.69,Financial strength,-18.996282527881043
