,NTRA
% Above Low,0.43979999999999997
% Held by Institutions,0.8559
52-Wk Range,['26.10 - 99.63']
Annual Dividend $,
Annual Dividend %,
Ask,38.52
Ask Size,100.0
Ask close,39.83
B/A Ratio,4.0
B/A Size,400x100
Beta,1.3
Bid,34.0
Bid Size,400.0
Bid close,35.19
Change Since Close,0.66| |(1.76%)
Closing Price,37.58
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.69
Ex-dividend Date,No dividend
Historical Volatility,0.8740000000000001
Last (size),20.0
Last (time),1:00p ET 11/25/22
Last Trade,38.24
Market Cap,4.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,37.58
Short Interest,0.0478
Today's Open,
Volume,20.0
Volume 10-day Avg,2618660.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,0.13111545988258322
Growth 1yr High Est,0.155925155925156
Growth 1yr Consensus Est,0.1435203079038696
Growth 2yr Low Est,0.017114823366897125
Growth 2yr High Est,-0.029051810526630584
Growth 2yr Consensus Est,-0.005968493579866729
Growth 5yr Low Est,0.017114823366897125
Growth 5yr High Est,-0.029051810526630584
Growth 5yr Consensus Est,-0.005968493579866729
Growth 5yr Actual/Est,0.3388820297428685
Growth 3yr Historic,0.3552748052561177
Price/Earnings (TTM),
Price/Sales (TTM),5.26555
Price/Book (MRQ),10.11151
Price/Cash Flow (TTM),
5yr Low,8.6
5yr High,129.09
5yr Avg Return,0.5405833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.24098579999999997
Dividend Growth 5yr,
Short Int Current Month,5011214.0
Short Int Prev Month,5747856.0
Short Int Pct of Float,0.0478347
Days to Cover,2.62341
Float,104.7779
Shares Outstanding,108.7295
Institutions Holding Shares,376.0
FCF Growth 5yr,0.19809934074639957
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4548
Operating Profit Margin (TTM),-0.6945
Net Profit Margin (TTM),-0.7033
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1672
EPS Growth (TTM),-0.24180000000000001
Revenue Growth (MRQ),0.06269999999999999
Revenue Growth (TTM),0.3738
Return On Equity (TTM),-0.9741
Return On Assets (TTM),-0.4704
Return On Investment (TTM),-0.5889
Revenue Per Employee (TTM),290636.0
Total Debt/Total Capital (MRQ),0.4783
Change in Debt/Total Capital Quarter over Quarter,0.003
Quick Ratio (MRQ),2.95
Interest Coverage (MRQ),-51.1
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2018-10-08 00:00:00
theStreet since,2018-10-10 00:00:00
ford since,2022-03-04 00:00:00
cfra since,
marketEdge opinion since,
