,2017,2018,2019,2020,2021,2022,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Report
high,34.15,82.35,61.08,49.0,62.27,50.86,,,,,
low,27.9,25.0,38.06,22.06,41.59,28.28,,,,,
change,-0.1515,0.6759000000000001,-0.09699999999999999,0.0464,0.09380000000000001,-0.271,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,26650.0,24712.0,20074.0,18998.0,Balance Sheet
Short Term Investments,,,,,,,5693.0,2007.0,2012.0,0.0,Balance Sheet
Cash and Short Term Invs,,,,,,,32343.0,26719.0,22086.0,18998.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,8134.0,11157.0,9466.0,10533.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,-124.0,-120.0,-84.0,-81.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,14678.0,18279.0,16966.0,17568.0,Balance Sheet
Other Receivables,,,,,,,1916.0,2305.0,2409.0,2438.0,Balance Sheet
"Total Receivables, Net",,,,,,,16594.0,20584.0,19375.0,20006.0,Balance Sheet
Invent. - Finished Goods,,,,,,,1744.0,2191.0,2731.0,4122.0,Balance Sheet
Invent. - Work In Progress,,,,,,,1650.0,1828.0,1943.0,1595.0,Balance Sheet
Invent. - Raw Materials,,,,,,,4896.0,5452.0,6252.0,6102.0,Balance Sheet
Total Inventory,,,,,,,8290.0,9471.0,10926.0,11819.0,Balance Sheet
Prepaid Expenses,,,,,,,7689.0,7907.0,7648.0,6764.0,Balance Sheet
Total Current Assets,,,,,,,64916.0,64681.0,60035.0,57587.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,31838.0,32925.0,32085.0,30781.0,Balance Sheet
"Goodwill, Net",,,,,,,44900.0,44248.0,42590.0,40710.0,Balance Sheet
Intangibles - Gross,,,,,,,52989.0,52168.0,49776.0,47428.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-17751.0,-18657.0,-19024.0,-19283.0,Balance Sheet
Intangibles - Net,,,,,,,35238.0,33511.0,30752.0,28145.0,Balance Sheet
Long Term Investments,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,,,,1602.0,1641.0,1711.0,1136.0,Balance Sheet
Total Assets,,,,,,,184866.0,184187.0,175652.0,158359.0,Balance Sheet
Accounts Payable,,,,,,,1845.0,2114.0,1928.0,3136.0,Balance Sheet
Accrued Expenses,,,,,,,9368.0,12236.0,13452.0,14783.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,10000.0,10000.0,10000.0,10000.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,4430.0,4019.0,4007.0,4160.0,Balance Sheet
Total Current Liabilities,,,,,,,25643.0,28369.0,29387.0,32079.0,Balance Sheet
Total Long Term Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,,,,,10000.0,10000.0,10000.0,10000.0,Balance Sheet
Deferred Income Tax,,,,,,,2547.0,2372.0,2227.0,2027.0,Balance Sheet
"Other Liabilities, Total",,,,,,,20005.0,20183.0,18926.0,15861.0,Balance Sheet
Total Liabilities,,,,,,,48195.0,50924.0,50540.0,49967.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,,0.0,0.0,0.0,Balance Sheet
Common Stock,,,,,,,699.0,700.0,700.0,701.0,Balance Sheet
Additional Paid-In Capital,,,,,,,22644.0,24827.0,26612.0,28774.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,113253.0,109170.0,103519.0,88791.0,Balance Sheet
"Other Equity, Total",,,,,,,75.0,-1434.0,-5719.0,-9874.0,Balance Sheet
Total Equity,,,,,,,136671.0,133263.0,125112.0,108392.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,184866.0,184187.0,175652.0,158359.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,13975.0,13990.0,13999.0,14029.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,23003.0,26106.0,24854.0,25988.0,Income Statement
"Cost of Revenue, Total",,,,,,,4497.0,5107.0,5141.0,5597.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,7995.0,9768.0,11472.0,12319.0,Income Statement
Labor & Related Expense,,,,,,,1197.0,1345.0,1382.0,1457.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,9192.0,11113.0,12854.0,13776.0,Income Statement
Research & Development,,,,,,,11663.0,13712.0,12975.0,12259.0,Income Statement
Depreciation/Amortization,,,,,,,1089.0,1071.0,1024.0,966.0,Income Statement
Unusual Expense (Income),,,,,,,,,0.0,0.0,Income Statement
"Other Operat Expse, Total",,,,,,,3.0,3.0,3.0,3.0,Income Statement
Total Operating Expense,,,,,,,26444.0,31006.0,31997.0,32601.0,Income Statement
Total Operating Income,,,,,,,-3441.0,-4900.0,-7143.0,-6613.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-136.0,-129.0,-145.0,-188.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,59.0,27.0,107.0,9.0,Income Statement
Income Before Tax,,,,,,,-3518.0,-5002.0,-7181.0,-6792.0,Income Statement
Income Tax - Total,,,,,,,-706.0,-919.0,-1530.0,7936.0,Income Statement
Income After Tax,,,,,,,-2812.0,-4083.0,-5651.0,-14728.0,Income Statement
Net Inc Before Extra Items,,,,,,,-2812.0,-4083.0,-5651.0,-14728.0,Income Statement
Total Net Income,,,,,,,-2812.0,-4083.0,-5651.0,-14728.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,-2812.0,-4083.0,-5651.0,-14728.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,-2812.0,-4083.0,-5651.0,-14728.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,13878.0,13917.0,13929.0,13943.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,-0.2,-0.29,-0.41,-1.06,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,-0.2,-0.29,-0.41,-1.06,Income Statement
Diluted Weighted Average Shares,,,,,,,13878.0,13917.0,13929.0,13943.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,-0.2,-0.29,-0.41,-1.06,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,-0.2,-0.29,-0.41,-1.06,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.0,0.0,0.0,,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,,,,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,136.0,129.0,145.0,188.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,1176.0,1220.0,1106.0,1240.0,Income Statement
Total Special Items,,,,,,,,,0.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,,,-3518.0,-5002.0,-7181.0,-6792.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,,,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,-706.0,-919.0,-1530.0,7936.0,Income Statement
Normalized Income After Tax,,,,,,,-2812.0,-4083.0,-5651.0,-14728.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,-2812.0,-4083.0,-5651.0,-14728.0,Income Statement
Basic Normalized EPS,,,,,,,-0.2,-0.29,-0.41,-1.06,Income Statement
Diluted Normalized EPS,,,,,,,-0.2,-0.29,-0.41,-1.06,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,-2812.0,-6895.0,-12546.0,-27274.0,Cash Flow
Depreciation/Depletion,,,,,,,2376.0,4696.0,6902.0,9142.0,Cash Flow
Deferred Taxes,,,,,,,-640.0,-1577.0,-2996.0,5268.0,Cash Flow
Unusual Items,,,,,,,,,,0.0,Cash Flow
Other Non-Cash Items,,,,,,,1852.0,3819.0,5834.0,7917.0,Cash Flow
Non-Cash Items,,,,,,,1852.0,3819.0,5834.0,7917.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,3.0,392.0,395.0,416.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,82.0,163.0,256.0,415.0,Cash Flow
Accounts Receivable,,,,,,,1547.0,-2097.0,-847.0,-1522.0,Cash Flow
Inventories,,,,,,,-1570.0,-2711.0,-4167.0,-5060.0,Cash Flow
Prepaid Expenses,,,,,,,-1432.0,-1899.0,-1998.0,-665.0,Cash Flow
Accounts Payable,,,,,,,200.0,487.0,349.0,1608.0,Cash Flow
Accrued Expenses,,,,,,,-5227.0,-2035.0,-1039.0,132.0,Cash Flow
Changes in Working Capital,,,,,,,-7802.0,-11269.0,-11917.0,-12276.0,Cash Flow
Total Cash from Operations,,,,,,,-7026.0,-11226.0,-14723.0,-17223.0,Cash Flow
Purchase of Fixed Assets,,,,,,,-782.0,-1937.0,-2798.0,-3370.0,Cash Flow
Purchase/Acq of Intangibles,,,,,,,0.0,0.0,0.0,0.0,Cash Flow
Capital Expenditures,,,,,,,-782.0,-1937.0,-2798.0,-3370.0,Cash Flow
Sale of Business,,,,,,,,,,0.0,Cash Flow
Sale/Maturity of Investment,,,,,,,4000.0,7600.0,7600.0,9600.0,Cash Flow
Purchase of Investments,,,,,,,0.0,0.0,0.0,0.0,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,4000.0,7600.0,7600.0,9600.0,Cash Flow
Total Cash from Investing,,,,,,,3218.0,5663.0,4802.0,6230.0,Cash Flow
Financing Cash Flow Items,,,,,,,-853.0,-1401.0,-1436.0,-1621.0,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,230.0,741.0,763.0,1246.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,,,,0.0,Cash Flow
Total Cash From Financing,,,,,,,-623.0,-660.0,-673.0,-375.0,Cash Flow
Foreign Exchange Effects,,,,,,,-72.0,-218.0,-485.0,-787.0,Cash Flow
Net Change in Cash,,,,,,,-4503.0,-6441.0,-11079.0,-12155.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,31153.0,31153.0,31153.0,31153.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,26650.0,24712.0,20074.0,18998.0,Cash Flow
"Depreciation, Supplemental",,,,,,,2376.0,4696.0,6902.0,9142.0,Cash Flow
Free Cash Flow,,,,,,,-7808.0,-13163.0,-17521.0,-20593.0,
FCF Growth,,,,,,,,0.6858350409836065,0.3310795411380385,0.17533245819302556,
