,SRDX
% Above Low,0.2347
% Held by Institutions,0.9208
52-Wk Range,['28.28 - 50.86']
Annual Dividend $,
Annual Dividend %,
Ask,35.06
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,34.69
Bid Size,100.0
Day Change $,-1.11
Day Change %,-0.0308
Day High,36.1
Day Low,34.89
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.96
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),1.0
Last (time),3:12p ET 11/28/22
Market Cap,490.1M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,36.02
Price,34.91
Short Interest,0.0225
Today's Open,35.61
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.07818930041152261
Growth 2yr High Est,-0.5874999999999999
Growth 2yr Consensus Est,-0.33284465020576126
Growth 5yr Low Est,-0.07818930041152261
Growth 5yr High Est,-0.5874999999999999
Growth 5yr Consensus Est,-0.33284465020576126
Growth 5yr Actual/Est,-0.12615595318944609
Growth 3yr Historic,-0.43035343035343043
Price/Earnings (TTM),
Price/Sales (TTM),5.05969
Price/Book (MRQ),4.66201
Price/Cash Flow (TTM),
5yr Low,22.06
5yr High,82.35
5yr Avg Return,0.04943333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.06453439999999999
Dividend Growth 5yr,
Short Int Current Month,304731.0
Short Int Prev Month,362939.0
Short Int Pct of Float,0.0224776
Days to Cover,5.64766
Float,13.61035
Shares Outstanding,14.04
Institutions Holding Shares,181.0
FCF Growth 5yr,0.3974156801048902
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7965000000000001
Operating Profit Margin (TTM),-0.2211
Net Profit Margin (TTM),-0.2729
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.6036000000000001
EPS Growth (TTM),-7.5278
Revenue Growth (MRQ),0.045599999999999995
Revenue Growth (TTM),-0.0493
Return On Equity (TTM),-0.2195
Return On Assets (TTM),-0.1545
Return On Investment (TTM),-0.18739999999999998
Revenue Per Employee (TTM),223604.0
Total Debt/Total Capital (MRQ),0.08449999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),1.43
Interest Coverage (MRQ),-36.94
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-12-31 00:00:00
theStreet since,2022-05-02 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-07-29 00:00:00
cfra since,
marketEdge opinion since,
