,SRDX,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),5.06,9.8,Valuation,0.5163265306122449
Price/Book (MRQ),4.66,10.31,Valuation,0.451988360814743
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.7965000000000001,0.6196,Profitability,1.2855067785668173
Operating Profit Margin (TTM),-0.2211,0.047,Profitability,-4.704255319148936
Net Profit Margin (TTM),-0.2729,0.009300000000000001,Profitability,-29.34408602150537
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-1.6036000000000001,-0.4858,Gowth rates,3.30094689172499
EPS Growth (TTM),-7.5278,-0.2029,Gowth rates,37.1010349926072
Revenue Growth (MRQ),0.045599999999999995,0.1161,Gowth rates,0.3927648578811369
Revenue Growth (TTM),-0.0493,0.18300000000000002,Gowth rates,-0.2693989071038251
Return On Equity (TTM),-0.2195,0.1068,Effectiveness,-2.055243445692884
Return On Assets (TTM),-0.1545,0.0622,Effectiveness,-2.4839228295819935
Return On Investment (TTM),-0.18739999999999998,0.0732,Effectiveness,-2.560109289617486
Revenue Per Employee (TTM),223604.0,403586.0,Effectiveness,0.5540430044649716
Total Debt/Total Capital (MRQ),0.08449999999999999,0.3161,Financial strength,0.2673204682062638
Change in Debt/Total Capital Quarter over Quarter,0.0023,0.0125,Financial strength,0.184
Quick Ratio (MRQ),1.43,2.25,Financial strength,0.6355555555555555
Interest Coverage (MRQ),-36.94,14.99,Financial strength,-2.4643095396931285
