,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,35.03,58.5,81.9,88.77,99.6,97.33,,,,,
low,31.06,28.98,52.15,23.77,67.89,54.15,,,,,
change,0.09550000000000002,0.5655,0.41759999999999997,0.0374,0.1779,-0.1681,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,546.0,471.0,384.0,404.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,27.0,13.0,23.0,34.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,,27.0,13.0,23.0,34.0,Balance Sheet
Other Receivables,,,,,,,17.0,23.0,24.0,19.0,Balance Sheet
"Total Receivables, Net",,,,,,,44.0,36.0,47.0,53.0,Balance Sheet
Total Inventory,,,,,,,1.0,2.0,3.0,4.0,Balance Sheet
Prepaid Expenses,,,,,,,13.0,18.0,14.0,14.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,58.0,88.0,76.0,64.0,Balance Sheet
Total Current Assets,,,,,,,662.0,616.0,523.0,540.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,326.0,502.0,524.0,537.0,Balance Sheet
Accumulated Depreciation,,,,,,,-152.0,-169.0,-190.0,-205.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,364.0,686.0,692.0,681.0,Balance Sheet
"Goodwill, Net",,,,,,,229.0,696.0,714.0,700.0,Balance Sheet
Intangibles - Gross,,,,,,,359.0,642.0,618.0,613.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-158.0,-166.0,-177.0,-186.0,Balance Sheet
Intangibles - Net,,,,,,,201.0,475.0,441.0,428.0,Balance Sheet
Long Term Investments,,,,,,,19.0,21.0,21.0,21.0,Balance Sheet
Other Long Term Assets,,,,,,,2.0,4.0,4.0,4.0,Balance Sheet
Total Assets,,,,,,,2016.0,2992.0,2884.0,2846.0,Balance Sheet
Accounts Payable,,,,,,,28.0,24.0,22.0,22.0,Balance Sheet
Accrued Expenses,,,,,,,74.0,106.0,94.0,92.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,18.0,96.0,21.0,21.0,Balance Sheet
Customer Advances,,,,,,,34.0,77.0,86.0,88.0,Balance Sheet
Other Payables,,,,,,,20.0,20.0,36.0,31.0,Balance Sheet
Other Current Liabilities,,,,,,,2.0,3.0,4.0,4.0,Balance Sheet
