,PLNT
% Below High,0.2121
% Held by Institutions,1.041
52-Wk Range,['54.15 - 97.33']
Annual Dividend $,
Annual Dividend %,
Ask,76.72
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,76.65
Bid Size,200.0
Day Change $,0.335
Day Change %,0.0044
Day High,76.95
Day Low,75.73
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.84
Ex-dividend Date,No dividend
Historical Volatility,0.43100000000000005
Last (size),6.0
Last (time),11:01a ET 11/28/22
Market Cap,6.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",90.54
Prev Close,76.35
Price,76.69
Short Interest,0.04019999999999999
Today's Open,75.73
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.9871794871794872
Growth 1yr High Est,0.802197802197802
Growth 1yr Consensus Est,0.8946886446886446
Growth 2yr Low Est,0.5742349048800662
Growth 2yr High Est,0.5962208523184132
Growth 2yr Consensus Est,0.5852278785992397
Growth 5yr Low Est,0.16374082906340975
Growth 5yr High Est,0.19119218716549588
Growth 5yr Consensus Est,0.1774665081144528
Growth 5yr Actual/Est,4.943089430894308
Growth 3yr Historic,4.6312893081761
Price/Earnings (TTM),90.53718
Price/Sales (TTM),8.1488
Price/Book (MRQ),
Price/Cash Flow (TTM),36.59099
5yr Low,23.77
5yr High,99.6
5yr Avg Return,0.18763333333333332
EPS Growth 5yr,0.0053327999999999995
Revenue Growth 5yr,0.091886
Dividend Growth 5yr,
Short Int Current Month,3260550.0
Short Int Prev Month,3380996.0
Short Int Pct of Float,0.0401656
Days to Cover,2.49163
Float,81.18926
Shares Outstanding,89.56142
Institutions Holding Shares,414.0
FCF Growth 5yr,0.36299384888302283
"Price/Earnings (TTM, GAAP)",90.54
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5123
Operating Profit Margin (TTM),0.2322
Net Profit Margin (TTM),0.0958
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.2138
EPS Growth (TTM),0.5394
Revenue Growth (MRQ),0.0889
Revenue Growth (TTM),0.5622
Return On Equity (TTM),
Return On Assets (TTM),0.0335
Return On Investment (TTM),0.0364
Revenue Per Employee (TTM),548819.0
Total Debt/Total Capital (MRQ),1.1414
Change in Debt/Total Capital Quarter over Quarter,-0.0022
Quick Ratio (MRQ),2.08
Interest Coverage (MRQ),3.03
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-02-25 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-09-24 00:00:00
cfra since,
marketEdge opinion since,
