,IONQ
% Above Low,0.18030000000000002
% Held by Institutions,0.34119999999999995
52-Wk Range,['4.16 - 25.94']
Annual Dividend $,
Annual Dividend %,
Ask,4.98
Ask Size,300.0
B/A Ratio,2.3333333333333335
B/A Size,700x300
Beta,
Bid,4.91
Bid Size,700.0
Closing Price,4.91
Day Change $,-0.07
Day Change %,-0.0141
Day High,5.01
Day Low,4.91
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.54
Ex-dividend Date,No dividend
Historical Volatility,0.9840000000000001
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,981.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.98
Short Interest,0.1274
Today's Open,4.95
Volume,756678.0
Volume 10-day Avg,3286066.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-27 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,1.0
Growth 2yr High Est,0.8888888888888888
Growth 2yr Consensus Est,0.9444444444444444
Growth 5yr Low Est,1.0
Growth 5yr High Est,0.8888888888888888
Growth 5yr Consensus Est,0.9444444444444444
Growth 5yr Actual/Est,0.46362433862433866
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),109.4291
Price/Book (MRQ),1.6967
Price/Cash Flow (TTM),
5yr Low,4.16
5yr High,35.9
5yr Avg Return,-0.10564999999999998
Short Int Current Month,22243437.0
Short Int Prev Month,23124290.0
Short Int Pct of Float,0.1273704
Days to Cover,7.1482
Float,175.3589
Shares Outstanding,199.9588
Institutions Holding Shares,181.0
FCF Growth 5yr,0.37370129870129865
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7391
Operating Profit Margin (TTM),-8.132000000000001
Net Profit Margin (TTM),-11.585799999999999
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-13.4148
EPS Growth (TTM),0.26530000000000004
Revenue Growth (MRQ),0.05940000000000001
Revenue Growth (TTM),18.8936
Return On Equity (TTM),-0.1834
Return On Assets (TTM),-0.1686
Return On Investment (TTM),-0.1729
Revenue Per Employee (TTM),92495.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-18 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
