,IONQ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,22.87,Valuation,
Price/Sales (TTM),109.43,5.73,Valuation,19.097731239092496
Price/Book (MRQ),1.7,44.1,Valuation,0.03854875283446712
"PEG Ratio (TTM, GAAP)",,2.57,Valuation,
Gross Profit Margin (TTM),0.7391,0.4263,Profitability,1.7337555711939947
Operating Profit Margin (TTM),-8.132000000000001,0.2867,Profitability,-28.364143704220442
Net Profit Margin (TTM),-11.585799999999999,0.23690000000000003,Profitability,-48.9058674546222
Annual Dividend Yield,,0.0074,Dividend,
Dividend Change %,,0.0593,Dividend,
"Dividend Growth Rate, 3 Years",,0.0618,Dividend,
EPS Growth (MRQ),-13.4148,0.0139,Gowth rates,-965.0935251798561
EPS Growth (TTM),0.26530000000000004,0.0891,Gowth rates,2.9775533108866448
Revenue Growth (MRQ),0.05940000000000001,0.0784,Gowth rates,0.7576530612244899
Revenue Growth (TTM),18.8936,0.0893,Gowth rates,211.57446808510636
Return On Equity (TTM),-0.1834,1.7101,Effectiveness,-0.10724519033974622
Return On Assets (TTM),-0.1686,0.27030000000000004,Effectiveness,-0.6237513873473917
Return On Investment (TTM),-0.1729,0.45,Effectiveness,-0.3842222222222222
Revenue Per Employee (TTM),92495.0,2289443.0,Effectiveness,0.040400656404199625
Total Debt/Total Capital (MRQ),0.0,0.7151000000000001,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0004,Financial strength,
Quick Ratio (MRQ),,0.84,Financial strength,
Interest Coverage (MRQ),,317.99,Financial strength,
