,VRT
Price/Earnings (TTM),71.78308
Price/Sales (TTM),0.95165
Price/Book (MRQ),4.0887
Price/Cash Flow (TTM),13.86849
5yr Low,4.75
5yr High,28.8
5yr Avg Return,0.13441999999999998
Short Int Current Month,8208261.0
Short Int Prev Month,12772852.0
Short Int Pct of Float,0.0254291
Days to Cover,2.09404
Float,323.3421
Shares Outstanding,377.2956
Institutions Holding Shares,344.0
% Held by Institutions,0.9687680000000001
FCF Growth 5yr,-0.19410418997886372
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
