,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,10.77,11.5,20.14,28.8,25.17,,,,,
low,9.7,9.75,4.75,17.88,7.76,,,,,
change,0.0103,0.1313,0.679,0.331,-0.47950000000000004,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,439.0,289.0,194.0,258.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,1551.0,1550.0,1692.0,1760.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,-14.0,-15.0,-15.0,-16.0,Balance Sheet
"Total Receivables, Net",,,,,,1536.0,1534.0,1676.0,1744.0,Balance Sheet
Invent. - Finished Goods,,,,,,237.0,299.0,276.0,269.0,Balance Sheet
Invent. - Work In Progress,,,,,,105.0,149.0,164.0,175.0,Balance Sheet
Invent. - Raw Materials,,,,,,275.0,328.0,355.0,360.0,Balance Sheet
Total Inventory,,,,,,616.0,775.0,795.0,804.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,107.0,127.0,148.0,168.0,Balance Sheet
Total Current Assets,,,,,,2699.0,2724.0,2814.0,2974.0,Balance Sheet
Buildings,,,,,,305.0,302.0,296.0,294.0,Balance Sheet
Land/Improvements,,,,,,42.0,45.0,43.0,42.0,Balance Sheet
Machinery/Equipment,,,,,,374.0,384.0,382.0,386.0,Balance Sheet
Construction in Progress,,,,,,35.0,36.0,44.0,45.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,153.0,153.0,153.0,145.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,908.0,920.0,918.0,910.0,Balance Sheet
Accumulated Depreciation,,,,,,-266.0,-282.0,-291.0,-300.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,642.0,638.0,627.0,611.0,Balance Sheet
"Goodwill, Net",,,,,,1330.0,1318.0,1284.0,1247.0,Balance Sheet
Intangibles - Gross,,,,,,2847.0,,,,Balance Sheet
Accum. Intangible Amort.,,,,,,-709.0,,,,Balance Sheet
Intangibles - Net,,,,,,2138.0,2055.0,1926.0,1802.0,Balance Sheet
Other Long Term Assets,,,,,,83.0,124.0,128.0,150.0,Balance Sheet
Total Assets,,,,,,6940.0,6911.0,6827.0,6827.0,Balance Sheet
Accounts Payable,,,,,,859.0,888.0,867.0,883.0,Balance Sheet
Accrued Expenses,,,,,,662.0,618.0,586.0,573.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,22.0,22.0,22.0,22.0,Balance Sheet
Customer Advances,,,,,,291.0,354.0,331.0,327.0,Balance Sheet
Income Taxes Payable,,,,,,21.0,22.0,15.0,33.0,Balance Sheet
Other Current Liabilities,,,,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,,,312.0,376.0,345.0,360.0,Balance Sheet
Total Current Liabilities,,,,,,1855.0,1904.0,1820.0,1838.0,Balance Sheet
Total Long Term Debt,,,,,,2951.0,2946.0,3118.0,3224.0,Balance Sheet
Total Debt,,,,,,2972.0,2968.0,3139.0,3246.0,Balance Sheet
Deferred Income Tax,,,,,,199.0,195.0,180.0,152.0,Balance Sheet
"Other Liabilities, Total",,,,,,518.0,412.0,358.0,346.0,Balance Sheet
Total Liabilities,,,,,,5522.0,5457.0,5475.0,5560.0,Balance Sheet
Common Stock,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,2598.0,2607.0,2613.0,2622.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-1215.0,-1207.0,-1187.0,-1165.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,40.0,4.0,-146.0,-293.0,Balance Sheet
Other Equity,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,-13.0,-13.0,-13.0,-13.0,Balance Sheet
