,VRT
% Above Low,0.6881
% Held by Institutions,0.9688
52-Wk Range,['7.76 - 27.04']
Annual Dividend $,0.01
Annual Dividend %,0.0007000000000000001
Ask,13.24
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.6
Bid,11.99
Bid Size,100.0
Closing Price,13.1
Day Change $,-0.64
Day Change %,-0.0466
Day High,14.06
Day Low,13.03
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.19
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.7859999999999999
Last (size),5.0
Last (time),7:00p ET 11/28/22
Market Cap,4.9B
"P/E Ratio (TTM, GAAP)",71.78
Prev Close,13.74
Short Interest,0.0254
Today's Open,13.49
Volume,2479180.0
Volume 10-day Avg,3036392.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.8518518518518516
Growth 2yr High Est,1.0862068965517242
Growth 2yr Consensus Est,0.9690293742017879
Growth 5yr Low Est,0.8518518518518516
Growth 5yr High Est,1.0862068965517242
Growth 5yr Consensus Est,0.9690293742017879
Growth 5yr Actual/Est,-9.840840080971661
Growth 3yr Historic,-10.006410256410257
Price/Earnings (TTM),71.78308
Price/Sales (TTM),0.95165
Price/Book (MRQ),4.0887
Price/Cash Flow (TTM),13.86849
5yr Low,4.75
5yr High,28.8
5yr Avg Return,0.13441999999999998
Short Int Current Month,8208261.0
Short Int Prev Month,12772852.0
Short Int Pct of Float,0.0254291
Days to Cover,2.09404
Float,323.3421
Shares Outstanding,377.2956
Institutions Holding Shares,344.0
FCF Growth 5yr,-0.19410418997886372
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",71.78
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2713
Operating Profit Margin (TTM),0.0193
Net Profit Margin (TTM),0.013200000000000002
Annual Dividend Yield,0.0007000000000000001
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.043899999999999995
EPS Growth (TTM),2.0162
Revenue Growth (MRQ),0.0584
Revenue Growth (TTM),0.11320000000000001
Return On Equity (TTM),0.0701
Return On Assets (TTM),0.011899999999999999
Return On Investment (TTM),0.0167
Revenue Per Employee (TTM),226975.0
Total Debt/Total Capital (MRQ),0.7192000000000001
Change in Debt/Total Capital Quarter over Quarter,0.0017000000000000001
Quick Ratio (MRQ),1.18
Interest Coverage (MRQ),1.61
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-16 00:00:00
theStreet since,2022-09-16 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-04-22 00:00:00
cfra since,
marketEdge opinion since,
