,HA
% Above Low,0.1003
% Held by Institutions,0.7806000000000001
52-Wk Range,['12.76 - 21.71']
Annual Dividend $,
Annual Dividend %,
Ask,14.36
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.8
Bid,14.0
Bid Size,100.0
Closing Price,14.04
Day Change $,0.09
Day Change %,0.006500000000000001
Day High,14.17
Day Low,13.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.5
Ex-dividend Date,No dividend
Historical Volatility,0.573
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,721.8M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.95
Short Interest,0.061500000000000006
Today's Open,13.8
Volume,256960.0
Volume 10-day Avg,566574.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.4663341645885286
Growth 1yr High Est,-0.46744791666666663
Growth 1yr Consensus Est,-0.4668910406275976
Growth 2yr Low Est,-0.6513913813596849
Growth 2yr High Est,-0.8559733470863895
Growth 2yr Consensus Est,-0.7536823642230372
Growth 5yr Low Est,-1.5199555974397492
Growth 5yr High Est,-1.358888229637028
Growth 5yr Consensus Est,-1.4394219135383888
Growth 5yr Actual/Est,-1.3603902807604158
Growth 3yr Historic,-0.9921822742474917
Price/Earnings (TTM),
Price/Sales (TTM),0.30013
Price/Book (MRQ),2.07727
Price/Cash Flow (TTM),
5yr Low,7.55
5yr High,44.25
5yr Avg Return,-0.13581666666666664
EPS Growth 5yr,
Revenue Growth 5yr,-0.0807558
Dividend Growth 5yr,
Short Int Current Month,3084060.0
Short Int Prev Month,3027392.0
Short Int Pct of Float,0.0615245
Days to Cover,4.94657
Float,50.16629
Shares Outstanding,51.41134
Institutions Holding Shares,236.0
FCF Growth 5yr,-1.7949443638122882
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0592
Operating Profit Margin (TTM),-0.1039
Net Profit Margin (TTM),-0.11750000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.8036
EPS Growth (TTM),-0.20629999999999998
Revenue Growth (MRQ),0.0712
Revenue Growth (TTM),0.9216
Return On Equity (TTM),-0.5794
Return On Assets (TTM),-0.061500000000000006
Return On Investment (TTM),-0.0833
Revenue Per Employee (TTM),360349.0
Total Debt/Total Capital (MRQ),0.8323999999999999
Change in Debt/Total Capital Quarter over Quarter,-0.0003
Quick Ratio (MRQ),1.45
Interest Coverage (MRQ),-0.38
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-08-04 00:00:00
researchTeam since,2021-07-05 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
