,HA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,-34.24,Valuation,
Price/Sales (TTM),0.3,0.63,Valuation,0.47619047619047616
Price/Book (MRQ),2.08,2.71,Valuation,0.7675276752767528
"PEG Ratio (TTM, GAAP)",,-0.02,Valuation,
Gross Profit Margin (TTM),0.0592,0.5245000000000001,Profitability,0.11286939942802668
Operating Profit Margin (TTM),-0.1039,0.029500000000000002,Profitability,-3.5220338983050845
Net Profit Margin (TTM),-0.11750000000000001,0.003,Profitability,-39.16666666666667
Annual Dividend Yield,,,Dividend,
Dividend Change %,,-0.2447,Dividend,
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.8036,0.541,Gowth rates,1.4853974121996303
EPS Growth (TTM),-0.20629999999999998,16.999000000000002,Gowth rates,-0.012136008000470613
Revenue Growth (MRQ),0.0712,0.46299999999999997,Gowth rates,0.15377969762419008
Revenue Growth (TTM),0.9216,0.8456999999999999,Gowth rates,1.0897481376374603
Return On Equity (TTM),-0.5794,-0.010900000000000002,Effectiveness,53.15596330275229
Return On Assets (TTM),-0.061500000000000006,-0.002,Effectiveness,30.750000000000004
Return On Investment (TTM),-0.0833,-0.0021,Effectiveness,39.66666666666667
Revenue Per Employee (TTM),360349.0,453436.0,Effectiveness,0.7947075221199905
Total Debt/Total Capital (MRQ),0.8323999999999999,0.6829000000000001,Financial strength,1.2189193146873625
Change in Debt/Total Capital Quarter over Quarter,-0.0003,-0.0014000000000000002,Financial strength,0.21428571428571425
Quick Ratio (MRQ),1.45,0.87,Financial strength,1.6666666666666665
Interest Coverage (MRQ),-0.38,23.47,Financial strength,-0.016190881976991905
