,FDMT
% Below High,0.0781
% Held by Institutions,0.7583
52-Wk Range,['5.32 - 24.82']
Annual Dividend $,
Annual Dividend %,
Ask,23.7
Ask Size,900.0
B/A Ratio,1.3333333333333333
B/A Size,1200x900
Beta,
Bid,22.13
Bid Size,1200.0
Closing Price,22.88
Day Change $,-0.38
Day Change %,-0.0163
Day High,23.55
Day Low,22.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.3
Ex-dividend Date,No dividend
Historical Volatility,0.909
Last (size),25.0
Last (time),1:00p ET 11/25/22
Market Cap,741.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,23.26
Short Interest,0.0942
Today's Open,23.12
Volume,183590.0
Volume 10-day Avg,1189278.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-27 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.3346303501945527
Growth 1yr High Est,0.1706349206349207
Growth 1yr Consensus Est,0.2526326354147367
Growth 2yr Low Est,0.4588603646016495
Growth 2yr High Est,0.08531746031746035
Growth 2yr Consensus Est,0.2720889124595549
Growth 5yr Low Est,0.4588603646016495
Growth 5yr High Est,0.08531746031746035
Growth 5yr Consensus Est,0.2720889124595549
Growth 5yr Actual/Est,-0.1093857288847413
Growth 3yr Historic,-0.2362055933484505
Price/Earnings (TTM),
Price/Sales (TTM),375.64
Price/Book (MRQ),2.94753
Price/Cash Flow (TTM),
5yr Low,5.32
5yr High,55.11
5yr Avg Return,-0.13486666666666666
Short Int Current Month,2698824.0
Short Int Prev Month,2898778.0
Short Int Pct of Float,0.09415190000000001
Days to Cover,4.29464
Float,28.66457
Shares Outstanding,32.39238
Institutions Holding Shares,144.0
FCF Growth 5yr,0.18623107627881588
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-53.764300000000006
Net Profit Margin (TTM),-53.3188
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.087
EPS Growth (TTM),-2.0905
Revenue Growth (MRQ),2.0864
Revenue Growth (TTM),-0.8837
Return On Equity (TTM),-0.4424
Return On Assets (TTM),-0.40399999999999997
Return On Investment (TTM),-0.4243
Revenue Per Employee (TTM),15911.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
theStreet since,2022-04-18 00:00:00
researchTeam since,2022-04-18 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
