,FDMT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),375.64,45.03,Valuation,8.341994226071508
Price/Book (MRQ),2.95,12.61,Valuation,0.23394131641554325
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-53.764300000000006,-4.7459,Profitability,11.328578351840537
Net Profit Margin (TTM),-53.3188,-4.5467,Profitability,11.726922823146458
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.087,-0.0014000000000000002,Gowth rates,-62.14285714285713
EPS Growth (TTM),-2.0905,0.027200000000000002,Gowth rates,-76.85661764705881
Revenue Growth (MRQ),2.0864,1.3963999999999999,Gowth rates,1.4941277570896592
Revenue Growth (TTM),-0.8837,0.9747,Gowth rates,-0.9066379398789371
Return On Equity (TTM),-0.4424,0.1967,Effectiveness,-2.2491103202846974
Return On Assets (TTM),-0.40399999999999997,0.0016,Effectiveness,-252.49999999999997
Return On Investment (TTM),-0.4243,0.0219,Effectiveness,-19.374429223744293
Revenue Per Employee (TTM),15911.0,1476201.0,Effectiveness,0.010778342515687227
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
