,ACN
% Above Low,0.22
% Held by Institutions,0.7162000000000001
52-Wk Range,['242.95 - 417.37']
Annual Dividend $,4.48
Annual Dividend %,0.0151
Ask,298.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,295.71
Bid Size,100.0
Closing Price,296.4
Day Change $,1.87
Day Change %,0.0063
Day High,297.52
Day Low,294.3
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",10.71
Ex-dividend,2022-10-12 00:00:00
Ex-dividend Date,10/12/22
Historical Volatility,0.33
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,186.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",27.67
Prev Close,294.53
Short Interest,0.0078000000000000005
Today's Open,294.3
Volume,677924.0
Volume 10-day Avg,1755972.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-16 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.048022598870056665
Growth 1yr High Est,0.0684551341350601
Growth 1yr Consensus Est,0.058238866502558384
Growth 2yr Low Est,0.06893492926431855
Growth 2yr High Est,0.11431414715411015
Growth 2yr Consensus Est,0.09162453820921435
Growth 5yr Low Est,0.1258463181237709
Growth 5yr High Est,0.14998658365012058
Growth 5yr Consensus Est,0.13791645088694574
Growth 5yr Actual/Est,0.12555679883859566
Growth 3yr Historic,0.08309533068325847
Price/Earnings (TTM),27.66533
Price/Sales (TTM),3.19903
Price/Book (MRQ),8.46945
Price/Cash Flow (TTM),23.03211
5yr Low,132.63
5yr High,417.37
5yr Avg Return,0.1684333333333333
EPS Growth 5yr,0.1449897
Revenue Growth 5yr,0.1123001
Dividend Growth 5yr,0.09901410000000001
Short Int Current Month,5163120.0
Short Int Prev Month,4906350.0
Short Int Pct of Float,0.0077782
Days to Cover,2.21614
Float,663.4002
Shares Outstanding,664.7831
Institutions Holding Shares,2716.0
FCF Growth 5yr,2.5416136249864643
"Price/Earnings (TTM, GAAP)",27.67
"PEG Ratio (TTM, GAAP)",2.48
Gross Profit Margin (TTM),0.3199
Operating Profit Margin (TTM),0.15050000000000002
Net Profit Margin (TTM),0.1135
Annual Dividend Yield,0.0151
Dividend Change %,0.1023
"Dividend Growth Rate, 3 Years",0.0994
EPS Growth (MRQ),-0.0667
EPS Growth (TTM),0.1702
Revenue Growth (MRQ),-0.0455
Revenue Growth (TTM),0.2189
Return On Equity (TTM),0.33039999999999997
Return On Assets (TTM),0.15460000000000002
Return On Investment (TTM),0.24960000000000002
Revenue Per Employee (TTM),85429.0
Total Debt/Total Capital (MRQ),0.0024
Change in Debt/Total Capital Quarter over Quarter,-0.0023
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-05-13 00:00:00
cfra since,2022-10-07 00:00:00
ford since,2022-05-13 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2005-09-27 00:00:00
