,UEC
% Above Low,0.5427000000000001
% Held by Institutions,0.44909999999999994
52-Wk Range,['2.34 - 6.60']
Annual Dividend $,
Annual Dividend %,
Ask,3.67
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,2.1
Bid,3.65
Bid Size,100.0
Closing Price,3.61
Day Change $,-0.24
Day Change %,-0.0623
Day High,3.8
Day Low,3.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.01
Ex-dividend Date,No dividend
Historical Volatility,0.9590000000000001
Last (size),2.0
Last (time),8:00p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",289.26
Prev Close,3.85
Short Interest,0.11199999999999999
Today's Open,3.76
Volume,5483507.0
Volume 10-day Avg,6243395.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2022-12-07 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,1.666666666666667
Growth 1yr High Est,0.0
Growth 1yr Consensus Est,0.8333333333333335
Growth 2yr Low Est,0.4583333333333335
Growth 2yr High Est,-2.75
Growth 2yr Consensus Est,-1.1458333333333333
Growth 5yr Low Est,0.07291666666666674
Growth 5yr High Est,-1.4125
Growth 5yr Consensus Est,-0.6697916666666667
Growth 5yr Actual/Est,-1.6026785714285714
Growth 3yr Historic,-0.3526785714285714
Price/Earnings (TTM),289.2562
Price/Sales (TTM),13.93619
Price/Book (MRQ),3.41106
Price/Cash Flow (TTM),234.2005
5yr Low,0.35
5yr High,6.6
5yr Avg Return,0.24581666666666663
Short Int Current Month,40174844.0
Short Int Prev Month,46458272.0
Short Int Pct of Float,0.111977
Days to Cover,4.42547
Float,358.7778
Shares Outstanding,365.0493
Institutions Holding Shares,246.0
FCF Growth 5yr,0.6699483819967229
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",289.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.1984
Operating Profit Margin (TTM),-0.0257
Net Profit Margin (TTM),0.0521
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.32939999999999997
EPS Growth (TTM),1.1843000000000001
Revenue Growth (MRQ),6.8612
Revenue Growth (TTM),
Return On Equity (TTM),0.022000000000000002
Return On Assets (TTM),0.0201
Return On Investment (TTM),0.0209
Revenue Per Employee (TTM),1600766.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),4.19
Interest Coverage (MRQ),-3.27
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
