,UEC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",289.26,9.13,Valuation,31.682365826944135
Price/Sales (TTM),13.94,7.57,Valuation,1.841479524438573
Price/Book (MRQ),3.41,4.65,Valuation,0.7333333333333333
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.1984,0.35119999999999996,Profitability,0.5649202733485195
Operating Profit Margin (TTM),-0.0257,0.192,Profitability,-0.13385416666666666
Net Profit Margin (TTM),0.0521,0.0358,Profitability,1.4553072625698324
Annual Dividend Yield,,0.0379,Dividend,
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),-0.32939999999999997,2.3421000000000003,Gowth rates,-0.14064301268092735
EPS Growth (TTM),1.1843000000000001,7.2215,Gowth rates,0.163996399639964
Revenue Growth (MRQ),6.8612,0.7168000000000001,Gowth rates,9.571986607142856
Revenue Growth (TTM),,47.807,Gowth rates,
Return On Equity (TTM),0.022000000000000002,0.3993,Effectiveness,0.05509641873278238
Return On Assets (TTM),0.0201,0.15810000000000002,Effectiveness,0.12713472485768498
Return On Investment (TTM),0.0209,0.2237,Effectiveness,0.09342869915064818
Revenue Per Employee (TTM),1600766.0,7554984.0,Effectiveness,0.2118821164942242
Total Debt/Total Capital (MRQ),0.0,0.3658,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01,-0.002,Financial strength,5.0
Quick Ratio (MRQ),4.19,0.96,Financial strength,4.364583333333334
Interest Coverage (MRQ),-3.27,13.28,Financial strength,-0.24623493975903615
