,ELY
Price/Earnings (TTM),19.79469
Price/Sales (TTM),0.97886
Price/Book (MRQ),0.9919
Price/Cash Flow (TTM),9.62717
5yr Low,4.75
5yr High,37.75
5yr Avg Return,0.07396666666666665
EPS Growth 5yr,-0.0168516
Revenue Growth 5yr,0.2917596
Dividend Growth 5yr,
Short Int Current Month,10973635.0
Short Int Prev Month,12583691.0
Short Int Pct of Float,0.08350210000000001
Days to Cover,4.98859
Float,152.6557
Shares Outstanding,184.8477
Institutions Holding Shares,399.0
% Held by Institutions,0.784515
FCF Growth 5yr,2.0237030067889465
