,ELY
% Above Low,0.21550000000000002
% Held by Institutions,0.7845
52-Wk Range,['16.80 - 29.10']
Annual Dividend $,
Annual Dividend %,
Ask,25.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.7
Bid,14.0
Bid Size,200.0
Change Since Close,0.00| |(0.00%)
Closing Price,20.42
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.03
Ex-dividend Date,No dividend
Historical Volatility,0.513
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,20.42
Market Cap,3.8B
"P/E Ratio (TTM, GAAP)",19.79
Prev Close,20.42
Short Interest,0.08349999999999999
Today's Open,
Volume,1.0
Volume 10-day Avg,1504340.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.2407407407407408
Growth 1yr High Est,-0.0265486725663715
Growth 1yr Consensus Est,-0.13364470665355616
Growth 2yr Low Est,-0.230126467931346
Growth 2yr High Est,-0.0541834271922767
Growth 2yr Consensus Est,-0.14215494756181135
Growth 5yr Low Est,-0.115063233965673
Growth 5yr High Est,-0.02709171359613835
Growth 5yr Consensus Est,-0.07107747378090568
Growth 5yr Actual/Est,-0.024235075115504434
Growth 3yr Historic,-0.056682496607869726
Price/Earnings (TTM),19.79469
Price/Sales (TTM),0.97886
Price/Book (MRQ),0.9919
Price/Cash Flow (TTM),9.62717
5yr Low,4.75
5yr High,37.75
5yr Avg Return,0.07396666666666665
EPS Growth 5yr,-0.0168516
Revenue Growth 5yr,0.2917596
Dividend Growth 5yr,
Short Int Current Month,10973635.0
Short Int Prev Month,12583691.0
Short Int Pct of Float,0.08350210000000001
Days to Cover,4.98859
Float,152.6557
Shares Outstanding,184.8477
Institutions Holding Shares,399.0
FCF Growth 5yr,2.0237030067889465
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-09-08 00:00:00
cfra since,2021-07-06 00:00:00
ford since,2022-11-11 00:00:00
marketEdge opinion since,
