,GSBC
% Below High,0.0298
% Held by Institutions,0.4274
52-Wk Range,['50.30 - 64.16']
Annual Dividend $,1.6
Annual Dividend %,0.025699999999999997
Ask,64.1
Ask Size,3000.0
B/A Ratio,0.06666666666666667
B/A Size,200x3000
Beta,0.8
Bid,24.86
Bid Size,200.0
Closing Price,62.25
Day Change $,0.74
Day Change %,0.012
Day High,62.29
Day Low,61.37
Dividend Pay Date,2022-10-18 00:00:00
"EPS (TTM, GAAP)",5.34
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.20600000000000002
Last (size),4.0
Last (time),1:00p ET 11/25/22
Market Cap,760.4M
"P/E Ratio (TTM, GAAP)",11.65
Prev Close,61.51
Short Interest,0.028999999999999998
Today's Open,61.37
Volume,8449.0
Volume 10-day Avg,20586.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.041516245487364545
Growth 1yr High Est,0.04609929078014208
Growth 1yr Consensus Est,0.04380776813375331
Growth 2yr Low Est,0.06235257681647266
Growth 2yr High Est,0.0950835436951557
Growth 2yr Consensus Est,0.07871806025581418
Growth 5yr Low Est,0.05221347040432239
Growth 5yr High Est,0.07132817961456811
Growth 5yr Consensus Est,0.06177082500944525
Growth 5yr Actual/Est,0.07166494540307441
Growth 3yr Historic,0.028994565468543537
Price/Earnings (TTM),11.64982
Price/Sales (TTM),3.381
Price/Book (MRQ),1.49095
Price/Cash Flow (TTM),9.70178
5yr Low,32.23
5yr High,64.48
5yr Avg Return,0.04066666666666666
EPS Growth 5yr,0.1122334
Revenue Growth 5yr,0.0141713
Dividend Growth 5yr,0.09415609999999999
Short Int Current Month,259909.0
Short Int Prev Month,285788.0
Short Int Pct of Float,0.028998200000000002
Days to Cover,13.92046
Float,9.00944
Shares Outstanding,12.21489
Institutions Holding Shares,153.0
FCF Growth 5yr,-0.09734934545061129
"Price/Earnings (TTM, GAAP)",11.65
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.38450000000000006
Net Profit Margin (TTM),0.30510000000000004
Annual Dividend Yield,0.0257
Dividend Change %,0.0147
"Dividend Growth Rate, 3 Years",0.0721
EPS Growth (MRQ),0.0175
EPS Growth (TTM),-0.04650000000000001
Revenue Growth (MRQ),0.13210000000000002
Revenue Growth (TTM),0.0179
Return On Equity (TTM),0.1208
Return On Assets (TTM),0.0123
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0016
Quick Ratio (MRQ),
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2020-10-30 00:00:00
researchTeam since,2022-10-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
