,GSBC,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",11.65,11.29,Valuation,1.0318866253321524
Price/Sales (TTM),3.38,3.28,Valuation,1.0304878048780488
Price/Book (MRQ),1.49,1.42,Valuation,1.0492957746478875
"PEG Ratio (TTM, GAAP)",,1.08,Valuation,
Gross Profit Margin (TTM),,,Profitability,
Operating Profit Margin (TTM),0.38450000000000006,0.3468,Profitability,1.1087081891580164
Net Profit Margin (TTM),0.30510000000000004,0.2848,Profitability,1.0712780898876406
Annual Dividend Yield,0.0257,0.028999999999999998,Dividend,0.8862068965517242
Dividend Change %,0.0147,-0.0087,Dividend,-1.6896551724137931
"Dividend Growth Rate, 3 Years",0.0721,0.0742,Dividend,0.9716981132075471
EPS Growth (MRQ),0.0175,-0.048,Gowth rates,-0.36458333333333337
EPS Growth (TTM),-0.04650000000000001,-0.10490000000000001,Gowth rates,0.44327931363203055
Revenue Growth (MRQ),0.13210000000000002,0.5294,Gowth rates,0.24952776728371748
Revenue Growth (TTM),0.0179,0.22469999999999998,Gowth rates,0.0796617712505563
Return On Equity (TTM),0.1208,0.1153,Effectiveness,1.0477016478751084
Return On Assets (TTM),0.0123,0.0101,Effectiveness,1.2178217821782178
Return On Investment (TTM),,,Effectiveness,
Revenue Per Employee (TTM),,,Effectiveness,
Total Debt/Total Capital (MRQ),,0.0,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0016,0.0009,Financial strength,1.777777777777778
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
