,FRO
% Below High,0.0668
% Held by Institutions,0.5013000000000001
52-Wk Range,['6.10 - 14.75']
Annual Dividend $,0.15
Annual Dividend %,0.0109
Ask,13.76
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.3
Bid,12.05
Bid Size,100.0
Closing Price,13.76
Day Change $,-0.08
Day Change %,-0.0058
Day High,13.84
Day Low,13.17
Dividend Pay Date,2022-10-03 00:00:00
"EPS (TTM, GAAP)",0.31
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.59
Last (size),9.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.32
Prev Close,13.84
Short Interest,0.11259999999999999
Today's Open,13.45
Volume,2788111.0
Volume 10-day Avg,3454854.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2022-11-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-4.135135135135135
Growth 1yr High Est,-8.782608695652174
Growth 1yr Consensus Est,-6.4588719153936545
Growth 2yr Low Est,-1.9210158434296365
Growth 2yr High Est,-4.137114403692008
Growth 2yr Consensus Est,-3.029065123560822
Growth 5yr Low Est,-1.6738811124482365
Growth 5yr High Est,-3.125789273612311
Growth 5yr Consensus Est,-2.3998351930302735
Growth 5yr Actual/Est,-1.2877922482133761
Growth 3yr Historic,0.1165263941371808
Price/Earnings (TTM),44.31705
Price/Sales (TTM),3.35915
Price/Book (MRQ),1.46863
Price/Cash Flow (TTM),13.89421
5yr Low,3.79
5yr High,14.75
5yr Avg Return,0.28665
EPS Growth 5yr,
Revenue Growth 5yr,-0.0013093
Dividend Growth 5yr,
Short Int Current Month,16072360.0
Short Int Prev Month,12644151.0
Short Int Pct of Float,0.11256740000000001
Days to Cover,4.35603
Float,142.7798
Shares Outstanding,222.6229
Institutions Holding Shares,223.0
FCF Growth 5yr,-4.44904582781792
"Price/Earnings (TTM, GAAP)",44.32
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2771
Operating Profit Margin (TTM),0.0941
Net Profit Margin (TTM),0.0718
Annual Dividend Yield,0.010900000000000002
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4868
EPS Growth (TTM),0.2255
Revenue Growth (MRQ),0.38170000000000004
Revenue Growth (TTM),0.1487
Return On Equity (TTM),0.0368
Return On Assets (TTM),0.015500000000000002
Return On Investment (TTM),0.0176
Revenue Per Employee (TTM),11433570.0
Total Debt/Total Capital (MRQ),0.5498
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.94
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2019-05-21 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
