,FRO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",44.32,9.13,Valuation,4.854326396495071
Price/Sales (TTM),3.36,7.57,Valuation,0.4438573315719947
Price/Book (MRQ),1.47,4.65,Valuation,0.3161290322580645
"PEG Ratio (TTM, GAAP)",,0.01,Valuation,
Gross Profit Margin (TTM),0.2771,0.35119999999999996,Profitability,0.7890091116173122
Operating Profit Margin (TTM),0.0941,0.192,Profitability,0.4901041666666667
Net Profit Margin (TTM),0.0718,0.0358,Profitability,2.005586592178771
Annual Dividend Yield,0.010900000000000002,0.0379,Dividend,0.287598944591029
Dividend Change %,,0.13269999999999998,Dividend,
"Dividend Growth Rate, 3 Years",,0.10189999999999999,Dividend,
EPS Growth (MRQ),0.4868,2.3421000000000003,Gowth rates,0.20784765808462488
EPS Growth (TTM),0.2255,7.2215,Gowth rates,0.031226199543031227
Revenue Growth (MRQ),0.38170000000000004,0.7168000000000001,Gowth rates,0.5325055803571428
Revenue Growth (TTM),0.1487,47.807,Gowth rates,0.003110423159788315
Return On Equity (TTM),0.0368,0.3993,Effectiveness,0.09216128224392688
Return On Assets (TTM),0.015500000000000002,0.15810000000000002,Effectiveness,0.09803921568627451
Return On Investment (TTM),0.0176,0.2237,Effectiveness,0.07867679928475638
Revenue Per Employee (TTM),11433570.0,7554984.0,Effectiveness,1.513381100476189
Total Debt/Total Capital (MRQ),0.5498,0.3658,Financial strength,1.5030071077091305
Change in Debt/Total Capital Quarter over Quarter,-0.0006,-0.002,Financial strength,0.3
Quick Ratio (MRQ),,0.96,Financial strength,
Interest Coverage (MRQ),3.94,13.28,Financial strength,0.29668674698795183
