,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,41.44,43.47,52.18,57.41,56.1,30.11,,,,,
low,38.99,32.17,34.26,25.34,24.43,19.76,,,,,
change,0.0173,-0.08720000000000001,0.1384,0.1912,-0.41490000000000005,-0.17989999999999998,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,,190.0,270.0,351.0,188.0,Balance Sheet
"Goodwill, Net",,,,,,,182.0,182.0,182.0,182.0,Balance Sheet
Intangibles - Gross,,,,,,,43.0,43.0,43.0,43.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-7.0,-7.0,-7.0,-7.0,Balance Sheet
Intangibles - Net,,,,,,,36.0,36.0,36.0,36.0,Balance Sheet
Long Term Investments,,,,,,,1994.0,1978.0,1908.0,1967.0,Balance Sheet
Insurance Receivables,,,,,,,394.0,368.0,374.0,342.0,Balance Sheet
Note Rcvble - Long Term,,,,,,,3.0,,,,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,,26.0,,,,Balance Sheet
Restricted Cash - LT,,,,,,,239.0,249.0,233.0,311.0,Balance Sheet
Def. Policy Acq. Costs,,,,,,,69.0,66.0,61.0,63.0,Balance Sheet
Accrued Investment Income,,,,,,,11.0,12.0,12.0,14.0,Balance Sheet
Reinsurance - Asset,,,,,,,1431.0,1705.0,1677.0,1695.0,Balance Sheet
Other Assets,,,,,,,374.0,401.0,432.0,408.0,Balance Sheet
"Other Assets, Total",,,,,,,1816.0,2118.0,2122.0,2117.0,Balance Sheet
Total Assets,,,,,,,4949.0,5267.0,5265.0,5205.0,Balance Sheet
Accrued Expenses,,,,,,,58.0,48.0,55.0,52.0,Balance Sheet
Insurance Reserves,,,,,,,2748.0,2750.0,2731.0,2787.0,Balance Sheet
Unearned Prem. Or Rev.,,,,,,,728.0,707.0,723.0,696.0,Balance Sheet
Reinsurance - Liability,,,,,,,136.0,127.0,156.0,114.0,Balance Sheet
Policy Liabilities,,,,,,,3612.0,3584.0,3609.0,3597.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Long Term Debt,,,,,,,366.0,326.0,326.0,326.0,Balance Sheet
Total Debt,,,,,,,366.0,326.0,326.0,326.0,Balance Sheet
Deferred Income Tax,,,,,,,0.0,,,,Balance Sheet
"Other Liabilities, Total",,,,,,,187.0,516.0,535.0,558.0,Balance Sheet
Total Liabilities,,,,,,,4223.0,4475.0,4526.0,4534.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,,145.0,145.0,145.0,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",,,,,,,0.0,,,,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,862.0,863.0,865.0,867.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-167.0,-159.0,-156.0,-165.0,Balance Sheet
"Other Equity, Total",,,,,,,30.0,-56.0,-115.0,-175.0,Balance Sheet
Total Equity,,,,,,,725.0,793.0,739.0,672.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,4949.0,5267.0,5265.0,5205.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,37.0,37.0,37.0,37.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 1,,,,,,,,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Gross Premiums Written,,,,,,,407299.0,359936.0,399714.0,358505.0,Income Statement
Other Insurance Revenue,,,,,,,1687.0,867.0,949.0,1488.0,Income Statement
Reinsurance - Income,,,,,,,-215611.0,-170112.0,-213452.0,-168316.0,Income Statement
Total Premiums Earned,,,,,,,193375.0,190691.0,187211.0,191677.0,Income Statement
Net Investment Income,,,,,,,12139.0,16267.0,14705.0,17306.0,Income Statement
Realized Gains (Losses),,,,,,,1826.0,-5010.0,-17110.0,-7754.0,Income Statement
Total Revenue,,,,,,,207340.0,201948.0,184806.0,201229.0,Income Statement
"Losses, Benies & Adjusts",,,,,,,242774.0,135608.0,121369.0,153008.0,Income Statement
Underwriting & Commissions,,,,,,,19094.0,19350.0,16960.0,15841.0,Income Statement
"Losses,Benies& Adjmts,Total",,,,,,,261868.0,154958.0,138329.0,168849.0,Income Statement
Amort. Of Policy Acquisition Costs,,,,,,,4833.0,22837.0,23188.0,23296.0,Income Statement
Depreciation/Amortization,,,,,,,91.0,91.0,91.0,90.0,Income Statement
"Other Operat Expse, Total",,,,,,,4705.0,8242.0,8888.0,8657.0,Income Statement
Total Operating Expense,,,,,,,271497.0,186128.0,170496.0,200892.0,Income Statement
Total Operating Income,,,,,,,-64157.0,15820.0,14310.0,337.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-2230.0,-2292.0,-4049.0,-4950.0,Income Statement
Income Before Tax,,,,,,,-66387.0,13528.0,10261.0,-4613.0,Income Statement
Income Tax - Total,,,,,,,-94.0,3323.0,2597.0,8.0,Income Statement
Income After Tax,,,,,,,-66293.0,10205.0,7664.0,-4621.0,Income Statement
Net Inc Before Extra Items,,,,,,,-66293.0,10205.0,7664.0,-4621.0,Income Statement
Total Net Income,,,,,,,-66293.0,10205.0,7664.0,-4621.0,Income Statement
Total Adjust to Net Income,,,,,,,,-875.0,-2625.0,-2625.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,-66293.0,9330.0,5039.0,-7246.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,-66293.0,9330.0,5039.0,-7246.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,37345.0,37407.0,37450.0,37450.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,-1.78,0.25,0.13,-0.19,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,-1.78,0.25,0.13,-0.19,Income Statement
Diluted Weighted Average Shares,,,,,,,37345.0,37555.0,37732.0,37450.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,-1.78,0.25,0.13,-0.19,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,-1.78,0.25,0.13,-0.19,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,0.3,0.05,0.05,0.05,Income Statement
Gross Divid - Common Stock,,,,,,,11258.0,1908.0,1907.0,1908.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,2230.0,2292.0,4049.0,4950.0,Income Statement
