,JRVR
% Above Low,0.1999
% Held by Institutions,0.975
52-Wk Range,['19.76 - 30.11']
Annual Dividend $,0.2
Annual Dividend %,0.0084
Ask,28.99
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.4
Bid,9.51
Bid Size,200.0
Closing Price,23.71
Day Change $,0.42
Day Change %,0.018000000000000002
Day High,23.99
Day Low,23.2
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",-1.59
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.42
Last (size),17.0
Last (time),1:00p ET 11/25/22
Market Cap,888.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,23.29
Short Interest,0.0326
Today's Open,23.43
Volume,52820.0
Volume 10-day Avg,164904.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.6363636363636362
Growth 1yr High Est,0.22875816993464038
Growth 1yr Consensus Est,0.4325609031491383
Growth 2yr Low Est,0.38762626262626254
Growth 2yr High Est,0.29257057432902234
Growth 2yr Consensus Est,0.34009841847764244
Growth 5yr Low Est,0.19381313131313127
Growth 5yr High Est,0.14628528716451117
Growth 5yr Consensus Est,0.17004920923882122
Growth 5yr Actual/Est,-2.557444377861507
Growth 3yr Historic,-2.2862060041407863
Price/Earnings (TTM),
Price/Sales (TTM),1.11675
Price/Book (MRQ),1.68554
Price/Cash Flow (TTM),
5yr Low,19.76
5yr High,57.41
5yr Avg Return,-0.05585000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.05684
Dividend Growth 5yr,-0.1181398
Short Int Current Month,1182059.0
Short Int Prev Month,1153871.0
Short Int Pct of Float,0.0326175
Days to Cover,2.98766
Float,36.28901
Shares Outstanding,37.46004
Institutions Holding Shares,199.0
FCF Growth 5yr,0.09626043654176637
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-0.0424
Net Profit Margin (TTM),-0.0667
Annual Dividend Yield,0.0084
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-2.4487
EPS Growth (TTM),0.61
Revenue Growth (MRQ),0.0889
Revenue Growth (TTM),0.0468
Return On Equity (TTM),-0.0883
Return On Assets (TTM),-0.0106
Return On Investment (TTM),
Revenue Per Employee (TTM),1246588.0
Total Debt/Total Capital (MRQ),0.327
Change in Debt/Total Capital Quarter over Quarter,-0.0018
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.77
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2021-12-06 00:00:00
researchTeam since,2021-12-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-13 00:00:00
cfra since,
marketEdge opinion since,
