,JRVR
Price/Earnings (TTM),
Price/Sales (TTM),1.11675
Price/Book (MRQ),1.68554
Price/Cash Flow (TTM),
5yr Low,19.76
5yr High,57.41
5yr Avg Return,-0.05585000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.05684
Dividend Growth 5yr,-0.1181398
Short Int Current Month,1182059.0
Short Int Prev Month,1153871.0
Short Int Pct of Float,0.0326175
Days to Cover,2.98766
Float,36.28901
Shares Outstanding,37.46004
Institutions Holding Shares,199.0
% Held by Institutions,0.9749979999999999
FCF Growth 5yr,0.09626043654176637
