,FND,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",28.43,19.03,Valuation,1.493956910141881
Price/Sales (TTM),1.9,1.93,Valuation,0.9844559585492227
Price/Book (MRQ),4.97,92.12,Valuation,0.05395136778115501
"PEG Ratio (TTM, GAAP)",1.24,7.27,Valuation,0.17056396148555708
Gross Profit Margin (TTM),0.3986,0.34390000000000004,Profitability,1.1590578656586217
Operating Profit Margin (TTM),0.08789999999999999,0.11789999999999999,Profitability,0.7455470737913485
Net Profit Margin (TTM),0.0675,0.0818,Profitability,0.8251833740831297
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-0.0858,-0.10800000000000001,Gowth rates,0.7944444444444444
EPS Growth (TTM),-0.0374,0.0262,Gowth rates,-1.4274809160305344
Revenue Growth (MRQ),0.0073,0.0478,Gowth rates,0.1527196652719665
Revenue Growth (TTM),0.2738,0.0874,Gowth rates,3.1327231121281462
Return On Equity (TTM),0.19579999999999997,5.2054,Effectiveness,0.03761478464671302
Return On Assets (TTM),0.0708,0.1562,Effectiveness,0.4532650448143406
Return On Investment (TTM),0.0962,0.26,Effectiveness,0.36999999999999994
Revenue Per Employee (TTM),517248.0,410011.0,Effectiveness,1.2615466414315712
Total Debt/Total Capital (MRQ),0.1911,0.8926999999999999,Financial strength,0.21406967626302228
Change in Debt/Total Capital Quarter over Quarter,0.0062,0.0016,Financial strength,3.8749999999999996
Quick Ratio (MRQ),0.17,0.39,Financial strength,0.4358974358974359
Interest Coverage (MRQ),33.62,13.36,Financial strength,2.5164670658682633
