,FND
% Above Low,0.2371
% Held by Institutions,1.0533
52-Wk Range,['59.91 - 134.95']
Annual Dividend $,
Annual Dividend %,
Ask,85.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.7
Bid,60.0
Bid Size,200.0
Closing Price,74.12
Day Change $,0.09
Day Change %,0.0012
Day High,74.85
Day Low,73.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.61
Ex-dividend Date,No dividend
Historical Volatility,0.5970000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,7.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",28.43
Prev Close,74.03
Short Interest,0.1197
Today's Open,73.66
Volume,460005.0
Volume 10-day Avg,1547359.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,0.11250000000000004
Growth 1yr High Est,0.10000000000000009
Growth 1yr Consensus Est,0.10625000000000007
Growth 2yr Low Est,0.061867977528089924
Growth 2yr High Est,0.19727272727272738
Growth 2yr Consensus Est,0.12957035240040865
Growth 5yr Low Est,0.2831103766298455
Growth 5yr High Est,0.3521629165050218
Growth 5yr Consensus Est,0.3176366465674337
Growth 5yr Actual/Est,0.29643000448773793
Growth 3yr Historic,0.2327536231884058
Price/Earnings (TTM),28.4294
Price/Sales (TTM),1.90412
Price/Book (MRQ),4.96987
Price/Cash Flow (TTM),18.49725
5yr Low,23.3
5yr High,145.89
5yr Avg Return,0.25861666666666666
EPS Growth 5yr,0.4143537
Revenue Growth 5yr,0.2672072
Dividend Growth 5yr,
Short Int Current Month,12298879.0
Short Int Prev Month,10633338.0
Short Int Pct of Float,0.119728
Days to Cover,5.32929
Float,104.1379
Shares Outstanding,106.1176
Institutions Holding Shares,443.0
FCF Growth 5yr,0.496359727544859
"Price/Earnings (TTM, GAAP)",28.43
"PEG Ratio (TTM, GAAP)",1.24
Gross Profit Margin (TTM),0.3986
Operating Profit Margin (TTM),0.08789999999999999
Net Profit Margin (TTM),0.0675
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0858
EPS Growth (TTM),-0.0374
Revenue Growth (MRQ),0.0073
Revenue Growth (TTM),0.2738
Return On Equity (TTM),0.19579999999999997
Return On Assets (TTM),0.0708
Return On Investment (TTM),0.0962
Revenue Per Employee (TTM),517248.0
Total Debt/Total Capital (MRQ),0.1911
Change in Debt/Total Capital Quarter over Quarter,0.0062
Quick Ratio (MRQ),0.17
Interest Coverage (MRQ),33.62
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-03-23 00:00:00
researchTeam since,2022-05-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-05-06 00:00:00
cfra since,
marketEdge opinion since,
