,CNMD
% Above Low,0.1691
% Held by Institutions,1.1227
52-Wk Range,['71.09 - 155.51']
Annual Dividend $,0.8
Annual Dividend %,0.0096
Ask,83.63
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.4
Bid,
Bid Size,
Closing Price,83.11
Day Change $,-0.04
Day Change %,-0.0005
Day High,83.71
Day Low,82.1
Dividend Pay Date,2022-10-05 00:00:00
"EPS (TTM, GAAP)",-2.91
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.43700000000000006
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,2.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,83.15
Short Interest,0.1173
Today's Open,83.18
Volume,108202.0
Volume 10-day Avg,418526.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.025974025974025983
Growth 1yr High Est,0.006230529595015577
Growth 1yr Consensus Est,-0.009871748189505203
Growth 2yr Low Est,0.04201298701298706
Growth 2yr High Est,0.03407501711948924
Growth 2yr Consensus Est,0.03804400206623815
Growth 5yr Low Est,0.09420982144385001
Growth 5yr High Est,0.08552385884675567
Growth 5yr Consensus Est,0.08986684014530284
Growth 5yr Actual/Est,0.08806964228869432
Growth 3yr Historic,0.07455865999443981
Price/Earnings (TTM),
Price/Sales (TTM),2.37081
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,37.66
5yr High,159.11
5yr Avg Return,0.13676666666666662
EPS Growth 5yr,0.2992388
Revenue Growth 5yr,0.057681199999999995
Dividend Growth 5yr,0.0
Short Int Current Month,3424774.0
Short Int Prev Month,3299661.0
Short Int Pct of Float,0.11725160000000001
Days to Cover,7.8983
Float,29.25485
Shares Outstanding,30.48241
Institutions Holding Shares,345.0
FCF Growth 5yr,-1.1131617700172143
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5593
Operating Profit Margin (TTM),0.0017000000000000001
Net Profit Margin (TTM),-0.07740000000000001
Annual Dividend Yield,0.0096
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),1.2625
EPS Growth (TTM),-2.4847
Revenue Growth (MRQ),-0.0076
Revenue Growth (TTM),0.0799
Return On Equity (TTM),
Return On Assets (TTM),
Return On Investment (TTM),
Revenue Per Employee (TTM),281204.0
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.52
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-24 00:00:00
ford since,2022-07-22 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-10-24 00:00:00
