,CNMD,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),2.37,9.8,Valuation,0.24183673469387754
Price/Book (MRQ),,10.31,Valuation,
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.5593,0.6196,Profitability,0.9026791478373144
Operating Profit Margin (TTM),0.0017000000000000001,0.047,Profitability,0.03617021276595745
Net Profit Margin (TTM),-0.07740000000000001,0.009300000000000001,Profitability,-8.32258064516129
Annual Dividend Yield,0.0096,0.0095,Dividend,1.0105263157894737
Dividend Change %,0.0,0.0679,Dividend,0.0
"Dividend Growth Rate, 3 Years",0.0,0.0524,Dividend,0.0
EPS Growth (MRQ),1.2625,-0.4858,Gowth rates,-2.598806093042404
EPS Growth (TTM),-2.4847,-0.2029,Gowth rates,12.24593395761459
Revenue Growth (MRQ),-0.0076,0.1161,Gowth rates,-0.06546080964685616
Revenue Growth (TTM),0.0799,0.18300000000000002,Gowth rates,0.4366120218579234
Return On Equity (TTM),,0.1068,Effectiveness,
Return On Assets (TTM),,0.0622,Effectiveness,
Return On Investment (TTM),,0.0732,Effectiveness,
Revenue Per Employee (TTM),281204.0,403586.0,Effectiveness,0.6967635150872429
Total Debt/Total Capital (MRQ),,0.3161,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,0.0015,0.0125,Financial strength,0.12
Quick Ratio (MRQ),,2.25,Financial strength,
Interest Coverage (MRQ),3.52,14.99,Financial strength,0.23482321547698465
