,CRK
% Below High,0.1452
% Held by Institutions,0.3475
52-Wk Range,['6.88 - 22.11']
Annual Dividend $,
Annual Dividend %,
Ask,20.0
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,18.15
Bid Size,300.0
Closing Price,18.9
Day Change $,-0.34
Day Change %,-0.0177
Day High,19.31
Day Low,18.78
Dividend Pay Date,12/15/22
"EPS (TTM, GAAP)",3.72
Ex-dividend Date,11/30/22
Historical Volatility,0.72
Last (size),200.0
Last (time),5:00p ET 11/25/22
Market Cap,4.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",5.09
Prev Close,19.24
Short Interest,0.22690000000000002
Today's Open,19.14
Volume,870229.0
Volume 10-day Avg,2954551.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,3.9264705882352935
Growth 1yr High Est,3.7411764705882353
Growth 1yr Consensus Est,3.8338235294117644
Growth 2yr Low Est,1.7826382791922737
Growth 2yr High Est,2.235352503284192
Growth 2yr Consensus Est,2.0089953912382326
Growth 5yr Low Est,0.8913191395961368
Growth 5yr High Est,1.117676251642096
Growth 5yr Consensus Est,1.0044976956191165
Growth 5yr Actual/Est,1.4703602946903174
Growth 3yr Historic,0.8355448898927158
Price/Earnings (TTM),5.08692
Price/Sales (TTM),1.31448
Price/Book (MRQ),2.72816
Price/Cash Flow (TTM),3.09162
5yr Low,4.05
5yr High,22.11
5yr Avg Return,0.4239833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.6014423
Dividend Growth 5yr,
Short Int Current Month,18335531.0
Short Int Prev Month,17140192.0
Short Int Pct of Float,0.22686910000000002
Days to Cover,4.52836
Float,81.09756
Shares Outstanding,233.7577
Institutions Holding Shares,285.0
FCF Growth 5yr,0.7919351217960209
"Price/Earnings (TTM, GAAP)",5.09
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8122
Operating Profit Margin (TTM),0.5989
Net Profit Margin (TTM),0.292
Annual Dividend Yield,0.0265
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1116
EPS Growth (TTM),2.6002
Revenue Growth (MRQ),0.2576
Revenue Growth (TTM),1.2862
Return On Equity (TTM),0.8455
Return On Assets (TTM),0.1875
Return On Investment (TTM),0.23600000000000002
Revenue Per Employee (TTM),16395360.0
Total Debt/Total Capital (MRQ),0.5576
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.47
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-11-25 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-08-02 00:00:00
