,2017,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,8.89,12.32,10.7,8.5,11.34,22.11,,,,,
low,5.79,4.21,4.17,4.05,4.37,6.88,,,,,
change,0.4486,-0.4683,0.8494,-0.4722,0.8386,1.3478,,,,,
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,,31.0,12.0,32.0,39.0,Balance Sheet
"Total Receivables, Net",,,,,,,268.0,240.0,472.0,627.0,Balance Sheet
"Other Curr. Assets, Total",,,,,,,20.0,16.0,27.0,43.0,Balance Sheet
Total Current Assets,,,,,,,319.0,268.0,531.0,709.0,Balance Sheet
Natural Resources,,,,,,,5059.0,5287.0,5572.0,5827.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,13.0,13.0,133.0,125.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,5072.0,5300.0,5705.0,5951.0,Balance Sheet
Accumulated Depreciation,,,,,,,-1058.0,-1164.0,-1283.0,-1412.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,4014.0,4136.0,4421.0,4540.0,Balance Sheet
"Goodwill, Net",,,,,,,336.0,336.0,336.0,336.0,Balance Sheet
Other Long Term Assets,,,,,,,0.0,10.0,,,Balance Sheet
Total Assets,,,,,,,4668.0,4750.0,5288.0,5584.0,Balance Sheet
Accounts Payable,,,,,,,315.0,319.0,455.0,617.0,Balance Sheet
Accrued Expenses,,,,,,,137.0,106.0,191.0,188.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,182.0,514.0,319.0,286.0,Balance Sheet
Total Current Liabilities,,,,,,,634.0,938.0,965.0,1092.0,Balance Sheet
Total Long Term Debt,,,,,,,2615.0,2534.0,2510.0,2262.0,Balance Sheet
Total Debt,,,,,,,2615.0,2534.0,2510.0,2262.0,Balance Sheet
Deferred Income Tax,,,,,,,197.0,173.0,268.0,346.0,Balance Sheet
Reserves,,,,,,,26.0,26.0,28.0,29.0,Balance Sheet
Other LT Liabilities,,,,,,,8.0,4.0,71.0,62.0,Balance Sheet
"Other Liabilities, Total",,,,,,,34.0,31.0,99.0,91.0,Balance Sheet
Total Liabilities,,,,,,,3480.0,3676.0,3842.0,3790.0,Balance Sheet
Redeemable Preferred Stock,,,,,,,175.0,175.0,175.0,175.0,Balance Sheet
Common Stock,,,,,,,116.0,116.0,117.0,117.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1100.0,1102.0,1102.0,1099.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,-204.0,-320.0,53.0,404.0,Balance Sheet
Total Equity,,,,,,,1188.0,1074.0,1446.0,1794.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,4668.0,4750.0,5288.0,5584.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,233.0,233.0,233.0,234.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsry Shrs-Pref. Iss. 2,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,,655.0,569.0,946.0,1190.0,Income Statement
"Cost of Revenue, Total",,,,,,,73.0,113.0,166.0,279.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,11.0,8.0,9.0,11.0,Income Statement
Research & Development,,,,,,,0.0,1.0,2.0,0.0,Income Statement
Depreciation/Amortization,,,,,,,110.0,107.0,119.0,129.0,Income Statement
Unusual Expense (Income),,,,,,,162.0,0.0,47.0,0.0,Income Statement
Loss(Gain)/Sale Asts (Oper),,,,,,,162.0,0.0,0.0,0.0,Income Statement
Total Operating Expense,,,,,,,357.0,229.0,344.0,419.0,Income Statement
Total Operating Income,,,,,,,299.0,341.0,602.0,771.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-48.0,-46.0,-44.0,-41.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,195.0,-437.0,-73.0,-271.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,0.0,0.0,0.0,0.0,Income Statement
"Other, Net",,,,,,,0.0,0.0,0.0,0.0,Income Statement
Income Before Tax,,,,,,,446.0,-143.0,485.0,458.0,Income Statement
Income Tax - Total,,,,,,,86.0,-32.0,108.0,103.0,Income Statement
Income After Tax,,,,,,,360.0,-111.0,377.0,356.0,Income Statement
Net Inc Before Extra Items,,,,,,,360.0,-111.0,377.0,356.0,Income Statement
Total Net Income,,,,,,,360.0,-111.0,377.0,356.0,Income Statement
Preferred Dividends,,,,,,,-4.0,-4.0,-4.0,-4.0,Income Statement
Misc Earnings Adjustment,,,,,,,,0.0,-1.0,-1.0,Income Statement
Total Adjust to Net Income,,,,,,,-4.0,-4.0,-6.0,-6.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,,,356.0,-115.0,371.0,350.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,,,356.0,-115.0,371.0,350.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,,,232.0,232.0,232.0,232.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,,,1.53,-0.5,1.6,1.5,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,,,1.53,-0.5,1.6,1.5,Income Statement
Diluted Weighted Average Shares,,,,,,,232.0,232.0,278.0,278.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,,,1.53,-0.5,1.34,1.26,Income Statement
Diluted EPS Incl. Extra. Items,,,,,,,1.53,-0.5,1.34,1.26,Income Statement
Div/Share-ComStockPrimIssue,,,,,,,,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,,,48.0,46.0,44.0,41.0,Income Statement
"Depreciat/Amort, Suppl",,,,,,,110.0,107.0,119.0,129.0,Income Statement
Total Special Items,,,,,,,162.0,0.0,47.0,0.0,Income Statement
Normalzd Income Before Tax,,,,,,,608.0,-143.0,532.0,458.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,,,,,31.0,0.0,10.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,,,,,117.0,-32.0,119.0,103.0,Income Statement
Normalized Income After Tax,,,,,,,491.0,-111.0,413.0,356.0,Income Statement
Normalzd Inc Avail to Common,,,,,,,487.0,-115.0,407.0,350.0,Income Statement
Basic Normalized EPS,,,,,,,2.1,-0.5,1.76,1.5,Income Statement
Diluted Normalized EPS,,,,,,,2.1,-0.5,1.47,1.26,Income Statement
Date,,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,,,,,-242.0,-111.0,265.0,621.0,Cash Flow
Depreciation/Depletion,,,,,,,469.0,107.0,226.0,355.0,Cash Flow
Deferred Taxes,,,,,,,-4.0,-25.0,70.0,148.0,Cash Flow
Unusual Items,,,,,,,1075.0,437.0,557.0,828.0,Cash Flow
Other Non-Cash Items,,,,,,,-391.0,-111.0,-364.0,-666.0,Cash Flow
Non-Cash Items,,,,,,,684.0,326.0,193.0,163.0,Cash Flow
"Cash Taxes Pd, Supplemental",,,,,,,0.0,,0.0,1.0,Cash Flow
"Cash Interest Pd, Suppl",,,,,,,204.0,76.0,90.0,164.0,Cash Flow
Accounts Receivable,,,,,,,-122.0,28.0,-204.0,-360.0,Cash Flow
Other Assets,,,,,,,-2.0,1.0,-10.0,-25.0,Cash Flow
Payable/Accrued,,,,,,,75.0,-42.0,145.0,302.0,Cash Flow
Changes in Working Capital,,,,,,,-49.0,-13.0,-69.0,-83.0,Cash Flow
Total Cash from Operations,,,,,,,859.0,284.0,686.0,1204.0,Cash Flow
Capital Expenditures,,,,,,,-689.0,-213.0,-515.0,-768.0,Cash Flow
Acquisition of Business,,,,,,,0.0,,,,Cash Flow
Sale of Fixed Assets,,,,,,,138.0,0.0,0.0,0.0,Cash Flow
Other Investing Cash Flow,,,,,,,0.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,,,,,138.0,0.0,0.0,0.0,Cash Flow
Total Cash from Investing,,,,,,,-551.0,-213.0,-515.0,-768.0,Cash Flow
Financing Cash Flow Items,,,,,,,-37.0,0.0,-1.0,-6.0,Cash Flow
Total Cash Dividends Paid,,,,,,,-18.0,-4.0,-9.0,-13.0,Cash Flow
"Common Stock, Net",,,,,,,0.0,,,,Cash Flow
Sale/Issuance of Preferred,,,,,,,0.0,,,,Cash Flow
Repurch/Retirement Preferd,,,,,,,0.0,,,,Cash Flow
"Preferred Stock, Net",,,,,,,0.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,,,,,0.0,,,,Cash Flow
Long Term Debt Issued,,,,,,,2778.0,95.0,595.0,705.0,Cash Flow
Long Term Debt Reduction,,,,,,,-3031.0,-180.0,-754.0,-1114.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,,,,,-253.0,-85.0,-159.0,-409.0,Cash Flow
Total Cash From Financing,,,,,,,-308.0,-89.0,-169.0,-428.0,Cash Flow
Net Change in Cash,,,,,,,0.0,-19.0,2.0,8.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,,,,,30.0,31.0,31.0,31.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,,,,,31.0,12.0,32.0,39.0,Cash Flow
"Depreciation, Supplemental",,,,,,,469.0,107.0,226.0,355.0,Cash Flow
Free Cash Flow,,,,,,,170.0,71.0,171.0,436.0,
FCF Growth,,,,,,,,-0.5823529411764705,1.408450704225352,1.5497076023391814,
