,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,78.0,43.0,,,,,
low,29.5,10.7,,,,,
change,0.22899999999999998,-0.4148,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,64.0,91.0,73.0,277.0,Balance Sheet
Short Term Investments,,,296.0,232.0,221.0,274.0,Balance Sheet
Cash and Short Term Invs,,,360.0,323.0,294.0,551.0,Balance Sheet
"Total Receivables, Net",,,,,,1.0,Balance Sheet
Prepaid Expenses,,,7.0,6.0,5.0,10.0,Balance Sheet
Total Current Assets,,,367.0,329.0,299.0,562.0,Balance Sheet
Buildings,,,0.0,0.0,0.0,0.0,Balance Sheet
Machinery/Equipment,,,9.0,12.0,14.0,17.0,Balance Sheet
Other Prop./Plant/Equip.,,,2.0,3.0,2.0,94.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,11.0,15.0,17.0,111.0,Balance Sheet
Accumulated Depreciation,,,-2.0,-3.0,-3.0,-4.0,Balance Sheet
Prop./Plant/Equip. - Net,,,9.0,12.0,13.0,106.0,Balance Sheet
Other Long Term Assets,,,3.0,3.0,7.0,0.0,Balance Sheet
Total Assets,,,384.0,349.0,324.0,673.0,Balance Sheet
Accounts Payable,,,7.0,2.0,6.0,0.0,Balance Sheet
Accrued Expenses,,,15.0,12.0,20.0,29.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,0.0,,,,Balance Sheet
Total Current Liabilities,,,22.0,15.0,26.0,29.0,Balance Sheet
Total Long Term Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Total Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Liabilities, Total",,,5.0,3.0,2.0,96.0,Balance Sheet
Total Liabilities,,,27.0,18.0,28.0,125.0,Balance Sheet
Redeemable Preferred Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,544.0,549.0,555.0,852.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-187.0,-217.0,-258.0,-303.0,Balance Sheet
Unrealized Gain (Loss),,,0.0,-1.0,-1.0,-1.0,Balance Sheet
Total Equity,,,357.0,331.0,296.0,548.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,384.0,349.0,324.0,673.0,Balance Sheet
Ttl Comm. Shares Outs.,,,49.0,49.0,49.0,60.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,0.0,0.0,0.0,929.0,Income Statement
