,VERV,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),1478.76,45.03,Valuation,32.83944037308461
Price/Book (MRQ),2.46,12.61,Valuation,0.1950832672482157
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),,0.5874,Profitability,
Operating Profit Margin (TTM),-162.02040000000002,-4.7459,Profitability,34.13902526391202
Net Profit Margin (TTM),-158.9225,-4.5467,Profitability,34.953372775859414
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),0.0609,-0.0014000000000000002,Gowth rates,-43.49999999999999
EPS Growth (TTM),-0.22010000000000002,0.027200000000000002,Gowth rates,-8.091911764705882
Revenue Growth (MRQ),,1.3963999999999999,Gowth rates,
Revenue Growth (TTM),,0.9747,Gowth rates,
Return On Equity (TTM),-0.3165,0.1967,Effectiveness,-1.609049313675648
Return On Assets (TTM),-0.2723,0.0016,Effectiveness,-170.18749999999997
Return On Investment (TTM),-0.2853,0.0219,Effectiveness,-13.027397260273974
Revenue Per Employee (TTM),8221.24,1476201.0,Effectiveness,0.005569187393857611
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),,2.06,Financial strength,
Interest Coverage (MRQ),,2.69,Financial strength,
