,VERV
% Above Low,1.0411
% Held by Institutions,1.0022
52-Wk Range,['10.70 - 43.00']
Annual Dividend $,
Annual Dividend %,
Ask,21.85
Ask Size,1300.0
B/A Ratio,0.38461538461538464
B/A Size,500x1300
Beta,
Bid,21.5
Bid Size,500.0
Closing Price,21.84
Day Change $,-0.46
Day Change %,-0.0206
Day High,22.36
Day Low,21.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.9
Ex-dividend Date,No dividend
Historical Volatility,1.041
Last (size),16.0
Last (time),4:00p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,22.3
Short Interest,0.1801
Today's Open,22.18
Volume,846964.0
Volume 10-day Avg,701741.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.7545239968528717
Growth 1yr High Est,0.2649572649572651
Growth 1yr Consensus Est,-0.2447833659478033
Growth 2yr Low Est,-0.34200558817002563
Growth 2yr High Est,0.10038403788403799
Growth 2yr Consensus Est,-0.12081077514299382
Growth 5yr Low Est,-0.34200558817002563
Growth 5yr High Est,0.10038403788403799
Growth 5yr Consensus Est,-0.12081077514299382
Growth 5yr Actual/Est,-0.16956894512771997
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1478.756
Price/Book (MRQ),2.4599
Price/Cash Flow (TTM),
5yr Low,10.7
5yr High,78.0
5yr Avg Return,-0.0929
Short Int Current Month,9981339.0
Short Int Prev Month,10051516.0
Short Int Pct of Float,0.18009989999999998
Days to Cover,6.40448
Float,55.5169
Shares Outstanding,61.60379
Institutions Holding Shares,185.0
FCF Growth 5yr,0.24501963963544035
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),-162.02040000000002
Net Profit Margin (TTM),-158.9225
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0609
EPS Growth (TTM),-0.22010000000000002
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.3165
Return On Assets (TTM),-0.2723
Return On Investment (TTM),-0.2853
Revenue Per Employee (TTM),8221.24
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-10-14 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
