,SUPN
% Below High,0.020499999999999997
% Held by Institutions,1.0398
52-Wk Range,['24.95 - 36.08']
Annual Dividend $,
Annual Dividend %,
Ask,35.35
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,0.9
Bid,35.3
Bid Size,400.0
Day Change $,0.131
Day Change %,0.0037
Day High,35.43
Day Low,34.92
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.62
Ex-dividend Date,No dividend
Historical Volatility,0.349
Last (size),30.0
Last (time),3:39p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",56.62
Prev Close,35.21
Price,35.34
Short Interest,0.1108
Today's Open,35.11
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.2093023255813954
Growth 1yr High Est,0.015873015873015817
Growth 1yr Consensus Est,-0.09671465485418979
Growth 2yr Low Est,-0.4134746922024624
Growth 2yr High Est,-0.3260478670634921
Growth 2yr Consensus Est,-0.3697612796329772
Growth 5yr Low Est,-0.19325695394436845
Growth 5yr High Est,-0.11302393353174606
Growth 5yr Consensus Est,-0.15314044373805724
Growth 5yr Actual/Est,0.016161456227274884
Growth 3yr Historic,-0.11523405972558515
Price/Earnings (TTM),56.6241
Price/Sales (TTM),2.88847
Price/Book (MRQ),2.23174
Price/Cash Flow (TTM),16.5381
5yr Low,13.12
5yr High,61.25
5yr Avg Return,-0.0023499999999999945
EPS Growth 5yr,-0.11040789999999999
Revenue Growth 5yr,0.2194472
Dividend Growth 5yr,
Short Int Current Month,5711975.0
Short Int Prev Month,5905461.0
Short Int Pct of Float,0.1107522
Days to Cover,11.60223
Float,51.57475
Shares Outstanding,54.05814
Institutions Holding Shares,325.0
FCF Growth 5yr,6.6616531547157045
"Price/Earnings (TTM, GAAP)",56.62
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8767
Operating Profit Margin (TTM),0.0271
Net Profit Margin (TTM),0.0572
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7519
EPS Growth (TTM),-0.5876
Revenue Growth (MRQ),0.0429
Revenue Growth (TTM),0.1678
Return On Equity (TTM),0.0453
Return On Assets (TTM),0.0232
Return On Investment (TTM),0.0329
Revenue Per Employee (TTM),1146017.0
Total Debt/Total Capital (MRQ),0.3201
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.8
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-04-19 00:00:00
ford since,2022-04-01 00:00:00
cfra since,
marketEdge opinion since,
