,SUPN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",56.62,26.82,Valuation,2.111111111111111
Price/Sales (TTM),2.89,18.12,Valuation,0.15949227373068434
Price/Book (MRQ),2.23,11.52,Valuation,0.1935763888888889
"PEG Ratio (TTM, GAAP)",,0.46,Valuation,
Gross Profit Margin (TTM),0.8767,0.6774,Profitability,1.2942131679952762
Operating Profit Margin (TTM),0.0271,-0.8243,Profitability,-0.03287637995875288
Net Profit Margin (TTM),0.0572,-0.8643000000000001,Profitability,-0.066180724285549
Annual Dividend Yield,,0.0217,Dividend,
Dividend Change %,,0.0947,Dividend,
"Dividend Growth Rate, 3 Years",,0.08410000000000001,Dividend,
EPS Growth (MRQ),-0.7519,0.0882,Gowth rates,-8.524943310657596
EPS Growth (TTM),-0.5876,0.5872999999999999,Gowth rates,-1.0005108121913844
Revenue Growth (MRQ),0.0429,0.0441,Gowth rates,0.9727891156462585
Revenue Growth (TTM),0.1678,0.17600000000000002,Gowth rates,0.9534090909090909
Return On Equity (TTM),0.0453,0.3019,Effectiveness,0.15004968532626697
Return On Assets (TTM),0.0232,0.09210000000000002,Effectiveness,0.25190010857763295
Return On Investment (TTM),0.0329,0.1384,Effectiveness,0.23771676300578035
Revenue Per Employee (TTM),1146017.0,1426391.0,Effectiveness,0.8034381877058955
Total Debt/Total Capital (MRQ),0.3201,0.4169,Financial strength,0.7678100263852243
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0,Financial strength,-inf
Quick Ratio (MRQ),0.8,1.22,Financial strength,0.6557377049180328
Interest Coverage (MRQ),,26.1,Financial strength,
