,VTNR
% Above Low,1.4211000000000003
% Held by Institutions,0.4869
52-Wk Range,['3.30 - 18.10']
Annual Dividend $,
Annual Dividend %,
Ask,8.1
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,2.1
Bid,8.05
Bid Size,500.0
Closing Price,7.99
Day Change $,-0.71
Day Change %,-0.0816
Day High,8.52
Day Low,7.97
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.14
Ex-dividend Date,No dividend
Historical Volatility,1.1
Last (size),1000.0
Last (time),4:00p ET 11/28/22
Market Cap,604.6M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.7
Short Interest,0.35109999999999997
Today's Open,8.47
Volume,2209615.0
Volume 10-day Avg,2328281.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.606060606060606
Growth 1yr High Est,-1.0
Growth 1yr Consensus Est,-0.19696969696969702
Growth 2yr Low Est,-1.3101772441395083
Growth 2yr High Est,inf
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,-0.6550886220697542
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,-1.3355042016806724
Growth 3yr Historic,0.23949579831932766
Price/Earnings (TTM),
Price/Sales (TTM),0.33823
Price/Book (MRQ),5.54392
Price/Cash Flow (TTM),
5yr Low,0.4005
5yr High,18.1
5yr Avg Return,0.9811500000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.0337431
Dividend Growth 5yr,
Short Int Current Month,21488777.0
Short Int Prev Month,22358648.0
Short Int Pct of Float,0.3511468
Days to Cover,5.81505
Float,61.25599
Shares Outstanding,75.66883
Institutions Holding Shares,160.0
FCF Growth 5yr,1.5414606344025443
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0442
Operating Profit Margin (TTM),-0.0074
Net Profit Margin (TTM),-0.04
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.2489000000000001
EPS Growth (TTM),-1.7499000000000002
Revenue Growth (MRQ),-0.23920000000000002
Revenue Growth (TTM),10.841800000000001
Return On Equity (TTM),-1.0233
Return On Assets (TTM),-0.1966
Return On Investment (TTM),-0.37579999999999997
Revenue Per Employee (TTM),6902060.0
Total Debt/Total Capital (MRQ),0.6563
Change in Debt/Total Capital Quarter over Quarter,0.0245
Quick Ratio (MRQ),0.81
Interest Coverage (MRQ),21.49
cfra,
newConstructs,rating-box
ford,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
cfra since,
newConstructs since,
ford since,
theStreet since,
researchTeam since,
marketEdge opinion since,
