,ODFL
% Above Low,0.271
% Held by Institutions,0.7471
52-Wk Range,['231.31 - 373.58']
Annual Dividend $,1.2
Annual Dividend %,0.0040999999999999995
Ask,320.0
Ask Size,100.0
Ask close,315.58
B/A Ratio,1.0
B/A Size,100x100
Beta,1.1
Bid,259.0
Bid Size,100.0
Bid close,276.37
Change Since Close,1.35| |(0.46%)
Closing Price,293.99
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-21 00:00:00
"EPS (TTM, GAAP)",11.68
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.42
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,295.34
Market Cap,32.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.17
Prev Close,293.99
Short Interest,0.052300000000000006
Today's Open,
Volume,101.0
Volume 10-day Avg,855455.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.3709302325581394
Growth 1yr High Est,0.3497206703910616
Growth 1yr Consensus Est,0.3603254514746005
Growth 2yr Low Est,0.12015553188551586
Growth 2yr High Est,0.22742656036109365
Growth 2yr Consensus Est,0.17379104612330476
Growth 5yr Low Est,0.13604742212775728
Growth 5yr High Est,0.1889494475219773
Growth 5yr Consensus Est,0.16249843482486728
Growth 5yr Actual/Est,0.24902473360201952
Growth 3yr Historic,0.16917170833218492
Price/Earnings (TTM),25.17406
Price/Sales (TTM),5.25678
Price/Book (MRQ),9.1675
Price/Cash Flow (TTM),20.26436
5yr Low,76.67
5yr High,373.58
5yr Avg Return,0.2919166666666666
EPS Growth 5yr,0.30239309999999997
Revenue Growth 5yr,0.1193301
Dividend Growth 5yr,
Short Int Current Month,5039353.0
Short Int Prev Month,5345537.0
Short Int Pct of Float,0.0523184
Days to Cover,4.9487
Float,96.33458
Shares Outstanding,110.4816
Institutions Holding Shares,1037.0
FCF Growth 5yr,0.2631872140724893
"Price/Earnings (TTM, GAAP)",25.17
"PEG Ratio (TTM, GAAP)",1.68
Gross Profit Margin (TTM),0.8698
Operating Profit Margin (TTM),0.2886
Net Profit Margin (TTM),0.21559999999999999
Annual Dividend Yield,0.0040999999999999995
Dividend Change %,0.326
"Dividend Growth Rate, 3 Years",0.3215
EPS Growth (MRQ),0.017
EPS Growth (TTM),0.4434
Revenue Growth (MRQ),-0.0382
Revenue Growth (TTM),0.256
Return On Equity (TTM),0.38180000000000003
Return On Assets (TTM),0.2827
Return On Investment (TTM),0.3229
Revenue Per Employee (TTM),261116.0
Total Debt/Total Capital (MRQ),0.0273
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
cfra,
ford,rating-box
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-10-26 00:00:00
theStreet since,2010-07-29 00:00:00
cfra since,2022-10-26 00:00:00
ford since,2022-07-08 00:00:00
marketEdge opinion since,
