,UHS,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.66,29.13,Valuation,0.4689323721249571
Price/Sales (TTM),0.72,1.32,Valuation,0.5454545454545454
Price/Book (MRQ),1.62,4.31,Valuation,0.3758700696055685
"PEG Ratio (TTM, GAAP)",4.68,0.26,Valuation,18.0
Gross Profit Margin (TTM),,0.1318,Profitability,
Operating Profit Margin (TTM),0.07980000000000001,0.0458,Profitability,1.7423580786026203
Net Profit Margin (TTM),0.0545,0.0242,Profitability,2.2520661157024793
Annual Dividend Yield,0.006,0.0108,Dividend,0.5555555555555556
Dividend Change %,,7.1517,Dividend,
"Dividend Growth Rate, 3 Years",,0.3483,Dividend,
EPS Growth (MRQ),0.1353,-0.1478,Gowth rates,-0.9154262516914751
EPS Growth (TTM),-0.2175,-1.101,Gowth rates,0.19754768392370572
Revenue Growth (MRQ),0.0038,0.0931,Gowth rates,0.04081632653061224
Revenue Growth (TTM),0.0621,0.1191,Gowth rates,0.5214105793450882
Return On Equity (TTM),0.1218,7.2022,Effectiveness,0.01691149926411374
Return On Assets (TTM),0.054900000000000004,0.0403,Effectiveness,1.3622828784119108
Return On Investment (TTM),0.065,0.016,Effectiveness,4.0625
Revenue Per Employee (TTM),193670.0,1375304.0,Effectiveness,0.1408197751188101
Total Debt/Total Capital (MRQ),0.44329999999999997,0.4855,Financial strength,0.9130792996910402
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0015,Financial strength,1.3333333333333333
Quick Ratio (MRQ),1.15,0.31,Financial strength,3.7096774193548385
Interest Coverage (MRQ),7.74,9.55,Financial strength,0.8104712041884816
