,UHS
% Below High,0.18420000000000003
% Held by Institutions,0.9942
52-Wk Range,['82.50 - 158.28']
Annual Dividend $,0.8
Annual Dividend %,0.006
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,86.8
Bid Size,
Closing Price,129.13
Day Change $,-3.6
Day Change %,-0.0271
Day High,131.15
Day Low,129.05
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",9.72
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.401
Last (size),388.0
Last (time),7:00p ET 11/28/22
Market Cap,9.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.66
Prev Close,132.73
Short Interest,0.0344
Today's Open,131.05
Volume,823466.0
Volume 10-day Avg,713289.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.1725625539257981
Growth 1yr High Est,-0.15950413223140492
Growth 1yr Consensus Est,-0.16603334307860151
Growth 2yr Low Est,-0.07168273681691367
Growth 2yr High Est,0.006285298682724261
Growth 2yr Consensus Est,-0.032698719067094706
Growth 5yr Low Est,0.014417698949056118
Growth 5yr High Est,0.05900715894702438
Growth 5yr Consensus Est,0.03671242894804025
Growth 5yr Actual/Est,0.027035889745128078
Growth 3yr Historic,0.04401568835022074
Price/Earnings (TTM),13.65806
Price/Sales (TTM),0.71652
Price/Book (MRQ),1.61874
Price/Cash Flow (TTM),7.36203
5yr Low,65.2
5yr High,165.0
5yr Avg Return,0.04250000000000001
EPS Growth 5yr,0.1062449
Revenue Growth 5yr,0.0529767
Dividend Growth 5yr,
Short Int Current Month,2125533.0
Short Int Prev Month,2072949.0
Short Int Pct of Float,0.034406599999999996
Days to Cover,2.89364
Float,61.81141
Shares Outstanding,71.41043
Institutions Holding Shares,627.0
FCF Growth 5yr,2.626190476190476
"Price/Earnings (TTM, GAAP)",13.66
"PEG Ratio (TTM, GAAP)",4.68
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.07980000000000001
Net Profit Margin (TTM),0.0545
Annual Dividend Yield,0.006
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1353
EPS Growth (TTM),-0.2175
Revenue Growth (MRQ),0.0038
Revenue Growth (TTM),0.0621
Return On Equity (TTM),0.1218
Return On Assets (TTM),0.054900000000000004
Return On Investment (TTM),0.065
Revenue Per Employee (TTM),193670.0
Total Debt/Total Capital (MRQ),0.44329999999999997
Change in Debt/Total Capital Quarter over Quarter,0.002
Quick Ratio (MRQ),1.15
Interest Coverage (MRQ),7.74
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2022-06-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-10-27 00:00:00
ford since,2021-10-29 00:00:00
marketEdge opinion since,
