,BLND,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),1.2,9.39,Valuation,0.12779552715654952
Price/Book (MRQ),1.87,12.63,Valuation,0.14806017418844022
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.40299999999999997,0.7206,Profitability,0.559256175409381
Operating Profit Margin (TTM),-2.6733,0.2172,Profitability,-12.308011049723756
Net Profit Margin (TTM),-2.7574,0.1553,Profitability,-17.755312298776563
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.7232,-0.0752,Gowth rates,-9.617021276595743
EPS Growth (TTM),-4.5663,-0.2824,Gowth rates,16.16961756373938
Revenue Growth (MRQ),-0.15539999999999998,0.15560000000000002,Gowth rates,-0.998714652956298
Revenue Growth (TTM),0.48479999999999995,0.1906,Gowth rates,2.5435466946484784
Return On Equity (TTM),-1.5115,0.2189,Effectiveness,-6.9049794426678845
Return On Assets (TTM),-0.9023000000000001,0.10740000000000001,Effectiveness,-8.401303538175046
Return On Investment (TTM),-1.0206,0.1387,Effectiveness,-7.358327325162221
Revenue Per Employee (TTM),161875.0,667721.0,Effectiveness,0.2424290983809106
Total Debt/Total Capital (MRQ),0.5011,0.39659999999999995,Financial strength,1.2634896621280889
Change in Debt/Total Capital Quarter over Quarter,0.014199999999999999,0.0004,Financial strength,35.49999999999999
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-10.73,0.28,Financial strength,-38.32142857142857
