,BLND
% Above Low,0.0534
% Held by Institutions,0.6804000000000001
52-Wk Range,['1.31 - 11.69']
Annual Dividend $,
Annual Dividend %,
Ask,1.4
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,1.38
Bid Size,400.0
Closing Price,1.38
Day Change $,-0.12
Day Change %,-0.08
Day High,1.55
Day Low,1.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.07
Ex-dividend Date,No dividend
Historical Volatility,0.88
Last (size),60.0
Last (time),5:00p ET 11/25/22
Market Cap,328.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.5
Short Interest,0.0737
Today's Open,1.55
Volume,1738183.0
Volume 10-day Avg,1790273.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-03-30 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.21333333333333337
Growth 2yr High Est,-0.4852941176470589
Growth 2yr Consensus Est,-0.3493137254901961
Growth 5yr Low Est,-0.21333333333333337
Growth 5yr High Est,-0.4852941176470589
Growth 5yr Consensus Est,-0.3493137254901961
Growth 5yr Actual/Est,-0.27840909090909094
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.19979
Price/Book (MRQ),1.86742
Price/Cash Flow (TTM),
5yr Low,1.4
5yr High,21.04
5yr Avg Return,-0.7234999999999999
Short Int Current Month,14694143.0
Short Int Prev Month,15880077.0
Short Int Pct of Float,0.0736962
Days to Cover,10.42735
Float,210.728
Shares Outstanding,237.7035
Institutions Holding Shares,135.0
FCF Growth 5yr,0.3132925354016937
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.40299999999999997
Operating Profit Margin (TTM),-2.6733
Net Profit Margin (TTM),-2.7574
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7232
EPS Growth (TTM),-4.5663
Revenue Growth (MRQ),-0.15539999999999998
Revenue Growth (TTM),0.48479999999999995
Return On Equity (TTM),-1.5115
Return On Assets (TTM),-0.9023000000000001
Return On Investment (TTM),-1.0206
Revenue Per Employee (TTM),161875.0
Total Debt/Total Capital (MRQ),0.5011
Change in Debt/Total Capital Quarter over Quarter,0.014199999999999999
Quick Ratio (MRQ),
Interest Coverage (MRQ),-10.73
researchTeam,rating-box
ford,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-08-31 00:00:00
ford since,2022-11-11 00:00:00
cfra since,
theStreet since,2022-08-31 00:00:00
newConstructs since,
marketEdge opinion since,
