,HRB,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",13.29,-674.43,Valuation,-0.0197055291134736
Price/Sales (TTM),1.94,3.81,Valuation,0.5091863517060368
Price/Book (MRQ),,2.94,Valuation,
"PEG Ratio (TTM, GAAP)",,-5.1,Valuation,
Gross Profit Margin (TTM),0.44930000000000003,0.30350000000000005,Profitability,1.4803953871499176
Operating Profit Margin (TTM),0.2059,0.047,Profitability,4.3808510638297875
Net Profit Margin (TTM),0.1574,0.024900000000000002,Profitability,6.3212851405622486
Annual Dividend Yield,0.0269,0.0049,Dividend,5.4897959183673475
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),-1.7445,-8.9082,Gowth rates,0.19583080757055296
EPS Growth (TTM),,1.3234000000000001,Gowth rates,
Revenue Growth (MRQ),-0.8286,0.0315,Gowth rates,-26.304761904761904
Revenue Growth (TTM),,0.1202,Gowth rates,
Return On Equity (TTM),,0.0073,Effectiveness,
Return On Assets (TTM),0.1833,-0.0022,Effectiveness,-83.31818181818181
Return On Investment (TTM),0.24780000000000002,0.005699999999999999,Effectiveness,43.47368421052632
Revenue Per Employee (TTM),908061.0,227358.0,Effectiveness,3.993969862507587
Total Debt/Total Capital (MRQ),1.2168,0.5721,Financial strength,2.1269008914525434
Change in Debt/Total Capital Quarter over Quarter,-0.0001,0.001,Financial strength,-0.1
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),-13.21,2.57,Financial strength,-5.1400778210116735
